Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
UBER260904P00074000,UBER260904P00074000,Sell,Working,0,1,@1.40,,GTC,08/18/2026 16:00:26 EDT,
UBER260904P00074000,UBER260904P00074000,Buy,Filled,1,1,@1.7500000000,1.7500000000,DAY,08/18/2026 15:58:53 EDT,08/18/2026 15:59:33 EDT
M260918C00025000,M260918C00025000,Sell,Working,0,1,@0.600,,GTC,08/18/2026 15:58:45 EDT,
TSLA260918P00300000,TSLA260918P00300000,Sell,Working,0,1,@2.60,,GTC,08/18/2026 15:57:45 EDT,
M260918C00025000,M260918C00025000,Buy,Filled,1,1,@0.7500000000,0.7500000000,DAY,08/18/2026 15:57:14 EDT,08/18/2026 15:57:14 EDT
TSLA260918P00300000,TSLA260918P00300000,Buy,Filled,1,1,@3.2100000000,3.2100000000,DAY,08/18/2026 15:56:13 EDT,08/18/2026 15:56:14 EDT
BAC261002C00066000,BAC261002C00066000,Sell,Working,0,1,@0.850,,GTC,08/18/2026 15:50:55 EDT,
BAC261002C00066000,BAC261002C00066000,Buy,Filled,1,1,@1.0600000000,1.0600000000,DAY,08/18/2026 15:49:24 EDT,08/18/2026 15:49:24 EDT
AAPL260821C00312500,AAPL260821C00312500,Sell,Filled,1,1,2.3800000000,2.3800000000,DAY,08/18/2026 14:44:07 EDT,08/18/2026 14:44:07 EDT
AAPL260821C00312500,AAPL260821C00312500,Sell,Cancelled,0,1,@1.90,,GTC,08/18/2026 14:42:31 EDT,
AAPL260821C00312500,AAPL260821C00312500,Sell,Cancelled,0,1,@1.55,,GTC,08/18/2026 14:03:12 EDT,
AAPL260821C00312500,AAPL260821C00312500,Buy,Filled,1,1,@1.9000000000,1.9000000000,DAY,08/18/2026 14:01:40 EDT,08/18/2026 14:01:41 EDT
GLD260831C00405000,GLD260831C00405000,Buy,Cancelled,0,1,@2.45,,DAY,08/18/2026 13:43:36 EDT,
KO260821C00089000,KO260821C00089000,Sell,Filled,1,1,0.5900000000,0.5900000000,DAY,08/18/2026 12:27:18 EDT,08/18/2026 12:27:18 EDT
