Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
QQQ260821P00715000,QQQ,Sell,Filled,3,3,1.89,1.89,DAY,08/21/2026 15:16:27 EDT,08/21/2026 15:16:27 EDT
QQQ260821P00715000,QQQ,Buy,Filled,3,3,1.62,1.62,DAY,08/21/2026 15:09:27 EDT,08/21/2026 15:09:27 EDT
SPY260821P00767000,SPY,Sell,Filled,3,3,1.41,1.41,DAY,08/21/2026 13:46:53 EDT,08/21/2026 13:46:54 EDT
SPY260821P00767000,SPY,Buy,Filled,3,3,1.41,1.41,DAY,08/21/2026 13:45:10 EDT,08/21/2026 13:45:11 EDT
QQQ260821P00715000,QQQ,Sell,Filled,1,1,1.80,1.80,DAY,08/21/2026 12:45:56 EDT,08/21/2026 12:45:57 EDT
QQQ260821P00715000,QQQ,Sell,Filled,3,3,1.80,1.80,DAY,08/21/2026 12:45:49 EDT,08/21/2026 12:45:49 EDT
QQQ260821P00715000,QQQ,Buy,Filled,4,4,1.53,1.53,DAY,08/21/2026 12:44:55 EDT,08/21/2026 12:44:55 EDT
QQQ260821P00714000,QQQ,Sell,Filled,3,3,1.23,1.23,DAY,08/21/2026 12:23:56 EDT,08/21/2026 12:23:57 EDT
QQQ260821P00714000,QQQ,Buy,Filled,3,3,1.19,1.19,DAY,08/21/2026 12:21:49 EDT,08/21/2026 12:21:49 EDT
CLF260828C00011500,CLF,Sell,Cancelled,0,1,,,DAY,08/21/2026 12:15:52 EDT,
CLF260828C00011500,CLF,Buy,Filled,1,1,0.50,0.50,DAY,08/21/2026 12:14:13 EDT,
CLF260828C00011500,CLF,Sell,Cancelled,0,1,,,DAY,08/21/2026 12:14:13 EDT,
QQQ260821P00712500,QQQ,Sell,Filled,3,3,2.08,2.08,DAY,08/21/2026 09:50:37 EDT,08/21/2026 09:50:37 EDT
QQQ260821P00709000,QQQ,Sell,Filled,2,2,1.01,1.01,DAY,08/21/2026 09:49:14 EDT,08/21/2026 09:49:14 EDT
QQQ260821P00709000,QQQ,Buy,Filled,2,2,0.86,0.86,DAY,08/21/2026 09:47:21 EDT,08/21/2026 09:47:21 EDT
QQQ260821P00712500,QQQ,Buy,Filled,3,3,2.18,2.18,DAY,08/21/2026 09:45:59 EDT,08/21/2026 09:45:59 EDT
QQQ260821P00712000,QQQ,Sell,Filled,4,4,1.78,1.78,DAY,08/21/2026 09:42:36 EDT,08/21/2026 09:42:36 EDT
QQQ260821P00712000,QQQ,Buy,Filled,4,4,1.78,1.78,DAY,08/21/2026 09:41:40 EDT,08/21/2026 09:41:40 EDT
QQQ260821P00712500,QQQ,Sell,Filled,2,2,2.10,2.10,DAY,08/21/2026 09:40:06 EDT,08/21/2026 09:40:06 EDT
QQQ260821P00712500,QQQ,Buy,Filled,2,2,2.38,2.38,DAY,08/21/2026 09:38:04 EDT,08/21/2026 09:38:04 EDT
