date,time,room,occ,their,status,entry,exit,why,pl,mfe,mae,mins,slip%
2026-08-11,09:39,Honeydrip daytrades,MSFT260814P00500000,,NO TAPE that day,,,,,,,,
2026-08-11,10:08,Honeydrip daytrades,NVDA260814C00220000,3.1,43min gap - skip,,,,,,,,
2026-08-11,10:42,Honeydrip daytrades,SPY260810C00775000,5.91,NO TAPE that day,,,,,,,,
2026-08-13,09:54,ZT top-flow,NVDA260814C00225000,,OK,2.43,2.19,STOP -10%,-24.0,5.3,-11.1,6.2,
2026-08-13,10:10,Option Alerts,AVGO260821C00450000,2.35,OK,2.38,2.14,STOP -10%,-24.0,-3.4,-10.5,1.9,1.3
2026-08-14,10:30,Honeydrip daytrades,NVDA260819P00225000,,OK,2.99,2.69,STOP -10%,-30.0,0.0,-10.4,8.3,
2026-08-17,10:05,MR.TOPHAT,SPY260817P00776000,1.15,tape ends before alert,,,,,,,,
2026-08-18,10:37,Honeydrip daytrades,MSFT260821C00485000,3.3,OK,3.3,2.97,STOP -10%,-33.0,1.5,-10.9,5.9,0.0
2026-08-25,11:39,Honeydrip daytrades,MSFT260828P00487500,4.45,NO TAPE that day,,,,,,,,
2026-09-02,11:43,Midas,SPY260903C00766000,,OK,2.09,1.88,STOP -10%,-21.0,1.4,-10.0,2.6,
2026-09-08,09:36:08,Honeydrip daytrades,AMD260911C00510000,6.0,OK,6.05,5.44,STOP -10%,-60.0,12.4,-10.7,4.7,0.8
2026-09-08,09:53:49,Honeydrip daytrades,AMD260911C00510000,5.6,OK,5.15,4.64,STOP -10%,-51.0,11.7,-10.7,7.3,-8.0
2026-09-08,09:54:33,Platinum nitro,QQQ260908P00717000,1.78,OK,1.64,1.48,STOP -10%,-16.0,6.1,-10.4,0.4,-7.9
2026-09-08,10:03:38,Platinum nitro,QQQ260908P00717000,1.72,OK,1.58,1.9,TP +20%,32.0,20.9,-9.5,3.6,-8.1
2026-09-08,10:07:04,Platinum nitro,TSLA260911C00372500,1.5,OK,3.25,2.92,STOP -10%,-32.0,-1.5,-11.1,1.4,116.7
2026-09-08,10:15:47,Vero 1,QQQ260908P00716000,1.35,OK,1.07,0.96,STOP -10%,-11.0,19.6,-11.2,5.0,-20.7
2026-09-08,10:25:17,Aristotle,AMD260909C00515000,1.86,OK,1.79,2.15,TP +20%,36.0,20.1,-2.2,4.4,-3.8
2026-09-08,10:35:01,Vero 1,SPY260908P00767000,1.2,OK,1.0,0.9,STOP -10%,-10.0,14.0,-12.0,6.4,-16.7
2026-09-08,12:01:01,,NVDA260904C00235000,2.77,NO TAPE that day,,,,,,,,
2026-09-09,00:42:18,,NVDA260904C00235000,2.77,NO TAPE that day,,,,,,,,
2026-09-09,10:59:44,Aristotle,META260909C00655000,4.4,OK,4.2,3.78,STOP -10%,-42.0,-3.6,-11.9,0.2,-4.5
2026-09-09,11:03:39,Vero 2,SPY260909P00764000,1.27,"no exit, only 0.3min tape - skip",,,,,,,,
2026-09-10,09:40:27,,NVDA260904C00235000,2.77,NO TAPE that day,,,,,,,,
2026-09-10,09:44:46,Honeydrip daytrades,META260911P00645000,5.15,OK,5.55,6.66,TP +20%,111.0,21.6,-2.7,1.6,7.8
2026-09-10,10:05:34,OWLS all-alerts,META260911C00675000,1.12,"no exit, only 0.1min tape - skip",,,,,,,,
2026-09-10,10:29:35,Whop Day Trades,SPY260910P00757000,2.3,"no exit, only 0.0min tape - skip",,,,,,,,
2026-09-10,10:31:30,Aristotle,IWM260911C00290000,1.47,"no exit, only 2.1min tape - skip",,,,,,,,
2026-09-10,12:25:22,OWLS all-alerts,SPY260910C00761000,0.17,OK,0.15,0.14,STOP -10%,-1.0,-6.7,-13.3,0.4,-11.8
2026-09-11,04:48:18,,NVDA260904C00235000,2.77,NO TAPE that day,,,,,,,,
