ts,o,h,l,c
1788269400,317.0500,317.3800,316.5100,316.5600
1788269401,316.5600,317.2100,316.2900,317.0200
1788269402,317.0200,317.2500,316.9600,317.0800
1788269403,317.0800,317.0800,316.5400,316.7200
1788269404,316.6700,316.8100,316.5500,316.8100
1788269405,316.8500,316.8800,316.7200,316.7200
1788269406,316.6700,316.8400,316.6700,316.8000
1788269407,316.8700,316.9100,316.6100,316.6100
1788269409,316.6000,316.6700,316.5000,316.5700
1788269410,316.5900,316.6600,316.5500,316.6000
1788269411,316.6300,316.6300,316.6300,316.6300
1788269412,316.6300,316.6700,316.5800,316.6400
1788269413,316.7200,316.9200,316.5400,316.5400
1788269414,316.5400,316.5400,316.5400,316.5400
1788269415,316.6000,316.6900,316.5800,316.6600
1788269416,316.6400,316.6400,316.5200,316.5200
1788269417,316.5100,316.6800,316.5100,316.6400
1788269418,316.7200,316.7200,316.7200,316.7200
1788269419,316.7300,316.9200,316.6500,316.8400
1788269420,316.7500,316.9200,316.7500,316.8500
1788269421,316.7600,316.7600,316.7100,316.7200
1788269422,316.7700,316.7700,316.7700,316.7700
1788269423,316.7700,316.8500,316.7700,316.7700
1788269424,316.8300,316.8600,316.7600,316.7600
1788269425,316.7200,316.7200,316.5100,316.5100
1788269426,316.5600,316.5800,316.5300,316.5800
1788269427,316.5100,316.5100,316.5100,316.5100
1788269428,316.4850,316.4850,316.4850,316.4850
1788269429,316.4850,316.5400,316.4800,316.5100
1788269430,316.6100,316.6600,316.6000,316.6000
1788269431,316.5000,316.5000,316.4800,316.4800
1788269432,316.4700,316.4700,316.2200,316.3000
1788269433,316.3250,316.4900,316.3250,316.4700
1788269434,316.5100,316.5100,316.3500,316.3500
1788269435,316.4100,316.4700,316.3400,316.3400
1788269436,316.4000,316.4100,316.3500,316.3500
1788269437,316.3400,316.3400,316.3200,316.3200
1788269438,316.3100,316.3400,316.2900,316.3300
1788269439,316.3400,316.3500,316.2900,316.3500
1788269440,316.3800,316.3800,316.3800,316.3800
1788269441,316.4200,316.4300,316.3600,316.3600
1788269442,316.3300,316.3300,316.3300,316.3300
1788269443,316.3500,316.4100,316.3000,316.3000
1788269445,316.2600,316.2700,316.2400,316.2700
1788269446,316.2900,316.3100,316.2900,316.3100
1788269447,316.2700,316.3800,316.2400,316.3800
1788269448,316.3300,316.3600,316.3100,316.3600
1788269449,316.3600,316.3600,316.3300,316.3300
1788269450,316.3000,316.3300,316.3000,316.3300
1788269451,316.2700,316.3300,316.2500,316.2500
1788269452,316.2800,316.2800,316.2500,316.2500
1788269453,316.3100,316.6900,316.2900,316.6600
1788269454,316.6100,316.7400,316.5900,316.7000
1788269455,316.7400,316.7400,316.6500,316.6700
1788269456,316.5500,316.5500,316.5500,316.5500
1788269457,316.5100,316.5200,316.5100,316.5200
1788269458,316.5600,316.5800,316.5600,316.5800
1788269459,316.6200,316.7200,316.6100,316.6900
1788269460,316.7000,316.7600,316.6100,316.6900
1788269461,316.7200,316.7450,316.6700,316.6700
1788269462,316.6900,316.6900,316.6100,316.6100
1788269465,316.5100,316.5100,315.9500,316.0000
1788269466,315.9650,316.0100,315.9650,316.0100
1788269467,315.9500,315.9500,315.8500,315.8900
1788269468,315.8700,315.8700,315.7000,315.7000
1788269469,315.7300,315.7600,315.7300,315.7600
1788269470,315.7800,315.7800,315.7800,315.7800
1788269471,315.8400,315.9700,315.8400,315.9300
1788269473,315.8900,315.8900,315.8600,315.8600
1788269474,315.9200,315.9400,315.9050,315.9050
1788269475,315.9000,316.1500,315.8900,316.1500
1788269476,316.1600,316.1600,316.1600,316.1600
1788269477,316.1300,316.1300,316.1100,316.1100
1788269478,316.1600,316.1600,316.1500,316.1500
1788269480,316.1100,316.1100,315.9000,315.9000
1788269481,315.9100,315.9100,315.8200,315.8500
1788269483,315.8800,315.8900,315.8800,315.8800
1788269485,315.8900,316.1500,315.8000,316.1000
1788269486,316.0100,316.0100,315.9500,315.9500
1788269488,316.0000,316.0000,316.0000,316.0000
1788269489,316.0700,316.0700,315.9500,315.9500
1788269490,315.9550,315.9700,315.7850,315.7850
1788269491,315.8200,315.8750,315.8200,315.8750
1788269492,315.9100,315.9900,315.9100,315.9900
