ts,o,h,l,c
1788355800,458.5100,458.5100,458.0100,458.4000
1788355801,458.2200,458.2200,458.0100,458.0100
1788355802,458.0300,458.4100,457.2100,457.2100
1788355803,457.3800,457.3800,456.6000,457.0100
1788355804,456.8700,456.8700,456.6000,456.6000
1788355805,456.8300,457.4100,456.8300,457.2500
1788355806,457.4000,457.5700,457.4000,457.5700
1788355807,457.1500,457.4000,457.1500,457.4000
1788355808,457.1000,457.1000,456.9300,456.9300
1788355810,456.8450,457.2500,456.8450,457.1000
1788355811,456.9700,456.9700,456.8900,456.8900
1788355812,456.9250,456.9300,456.8900,456.8900
1788355813,457.0200,457.0200,456.9400,456.9400
1788355814,456.8700,456.9000,456.8700,456.9000
1788355815,456.8300,456.9000,456.8300,456.9000
1788355816,457.0200,457.2700,457.0200,457.1550
1788355819,456.9900,457.1400,456.9700,457.0800
1788355820,457.2700,457.4200,457.1650,457.1650
1788355821,457.0900,457.2700,456.6300,456.7000
1788355823,456.6000,456.6000,455.7400,455.9100
1788355825,455.9500,456.1800,455.9500,456.1800
1788355826,456.1800,456.1800,456.1800,456.1800
1788355827,456.1300,456.1300,456.1300,456.1300
1788355829,456.1200,456.6500,456.1200,456.3800
1788355830,456.0900,456.4300,455.8900,456.4300
1788355831,456.4900,457.2900,456.4900,457.2900
1788355832,457.3550,457.3550,457.3550,457.3550
1788355834,457.8400,458.0100,457.8400,457.9900
1788355835,458.0500,458.1900,458.0500,458.1900
1788355836,458.2900,458.6500,458.1700,458.6500
1788355837,458.4700,458.4700,458.4200,458.4200
1788355840,458.7000,458.8400,458.5900,458.5900
1788355841,458.3300,458.3300,458.2800,458.3000
1788355842,458.4700,458.4700,458.4700,458.4700
1788355843,458.6400,458.6400,458.6400,458.6400
1788355844,458.5700,458.7600,458.4900,458.7600
1788355848,458.5000,458.8600,458.4900,458.8600
1788355849,458.7700,458.7700,458.3900,458.3900
1788355850,458.8900,458.8900,458.8800,458.8800
1788355851,458.7000,458.7000,458.7000,458.7000
1788355852,458.7300,458.7300,458.3500,458.3500
1788355854,458.0600,458.0600,458.0500,458.0500
1788355858,458.2250,458.2250,458.2250,458.2250
1788355859,458.2400,458.2500,458.0300,458.0300
1788355860,458.0000,458.0100,457.4600,457.4600
1788355861,457.4600,457.4600,457.4600,457.4600
1788355863,457.3700,457.3700,457.1400,457.1400
1788355864,457.1300,457.1300,457.1300,457.1300
1788355866,456.9400,457.1700,456.9300,457.1700
1788355867,457.2800,457.3400,457.2800,457.3400
1788355868,457.1200,457.1200,457.1200,457.1200
1788355869,457.4700,457.4800,457.4700,457.4800
1788355870,457.8500,458.0000,457.8500,457.9600
1788355871,457.8450,457.8450,457.8450,457.8450
1788355873,458.0000,458.5100,458.0000,458.5100
1788355874,458.3100,458.3100,458.3100,458.3100
1788355875,458.4200,458.5400,458.4200,458.5400
1788355876,458.5600,458.7000,458.5600,458.7000
1788355877,458.7300,458.8700,458.4700,458.6900
1788355878,458.3400,458.3400,458.3400,458.3400
1788355879,458.3700,458.3700,458.3700,458.3700
1788355880,458.3100,458.3100,458.3100,458.3100
1788355882,458.4800,458.4800,458.4800,458.4800
1788355883,458.3600,458.3600,458.3600,458.3600
1788355884,458.3600,458.6000,458.3600,458.6000
1788355885,458.6000,458.6000,458.6000,458.6000
1788355887,458.4000,458.4000,458.3400,458.3400
1788355889,458.5600,458.5800,458.5600,458.5800
1788355890,458.6000,459.3200,458.6000,459.2000
1788355892,459.2600,459.5000,459.2600,459.2900
1788355893,459.2900,459.6800,459.2900,459.5800
1788355894,459.5700,459.5700,459.2400,459.2400
1788355895,459.2300,459.2300,458.9800,458.9800
1788355897,458.9400,458.9400,458.9000,458.9000
1788355898,459.0800,459.1400,459.0800,459.1400
1788355904,458.9300,458.9300,458.6300,458.6300
1788355906,458.9750,458.9750,458.9750,458.9750
1788355907,458.9900,459.1700,458.8400,459.1700
1788355908,458.9500,459.2000,458.9400,459.2000
1788355909,459.2000,459.2000,459.2000,459.2000
1788355910,458.8500,458.8500,458.8500,458.8500
1788355911,458.7800,458.7800,458.7700,458.7700
1788355912,458.7700,458.9000,458.7700,458.9000
1788355913,458.6600,458.6600,458.6600,458.6600
1788355914,458.6200,458.6200,458.6200,458.6200
1788355915,458.6400,458.6400,458.6400,458.6400
1788355916,458.6200,458.6200,458.4600,458.4600
1788355917,458.6500,458.6900,458.6500,458.6900
1788355920,458.8500,458.8600,458.7400,458.7400
1788355921,458.9100,459.0000,458.9100,459.0000
1788355923,459.0000,459.0400,459.0000,459.0400
1788355926,458.8900,458.8900,458.8700,458.8700
1788355927,458.9000,458.9000,458.9000,458.9000
1788355929,458.9900,458.9900,458.9900,458.9900
1788355932,459.0000,459.0800,459.0000,459.0800
1788355934,458.9800,459.0900,458.9800,459.0900
1788355937,459.0900,459.1000,459.0000,459.1000
1788355938,459.1900,459.2000,459.1900,459.1900
1788355940,459.0400,459.2500,459.0400,459.0800
1788355943,459.1400,459.1400,459.1400,459.1400
1788355944,459.0000,459.0000,459.0000,459.0000
1788355945,459.1900,459.7600,459.1900,459.4400
1788355946,459.4200,459.7300,459.4200,459.5300
1788355947,459.3800,459.3800,459.3800,459.3800
1788355948,459.4800,459.4800,459.4800,459.4800
1788355949,459.5800,459.6300,459.5800,459.5800
1788355950,459.3400,459.3400,459.1300,459.3100
1788355951,459.1600,459.1600,459.1600,459.1600
1788355953,459.1200,459.1200,459.1200,459.1200
1788355954,459.1700,459.1700,459.1700,459.1700
1788355957,459.4200,459.7000,459.2900,459.7000
1788355959,459.7900,459.9000,459.7900,459.9000
1788355961,459.7300,459.8300,459.7300,459.7900
1788355962,459.6400,459.7500,459.6300,459.7500
1788355963,459.8800,460.0500,459.8800,460.0500
1788355964,460.0700,460.1200,460.0700,460.0700
1788355965,460.1700,460.2400,460.1700,460.2400
1788355966,460.3000,460.3000,460.2900,460.2900
1788355967,460.2400,460.3800,460.2400,460.3800
1788355968,460.3800,460.5300,460.3800,460.5300
1788355970,460.6000,460.7200,460.5500,460.6100
1788355971,460.6100,460.6100,460.4500,460.4500
1788355972,460.5300,460.5300,460.5300,460.5300
1788355973,460.4500,460.5300,460.4500,460.5300
1788355974,460.4300,460.4300,460.4300,460.4300
1788355975,460.2500,460.4000,459.8700,460.2700
1788355976,460.0200,460.0200,460.0100,460.0100
1788355979,460.0000,460.0000,459.7400,459.7400
1788355981,460.0400,460.1200,459.9500,459.9500
1788355982,459.9500,459.9500,459.9500,459.9500
1788355983,460.0800,460.4100,460.0800,460.4100
1788355984,460.4100,460.6000,460.4100,460.6000
1788355985,460.7100,460.7600,460.6650,460.7000
1788355988,460.6550,460.6550,460.6200,460.6200
1788355989,460.6550,460.6550,460.6550,460.6550
1788355990,460.5100,461.2600,460.4300,461.2600
1788355991,461.3900,461.8100,461.3900,461.6800
1788355992,461.5000,461.7400,461.5000,461.6600
1788355993,461.5000,461.5000,461.5000,461.5000
1788355995,461.2300,461.2400,461.1300,461.1300
1788355996,461.0750,461.0800,461.0750,461.0800
1788355997,461.2500,461.2900,461.2500,461.2900
1788355998,461.0400,461.0600,461.0400,461.0600
1788355999,461.0700,461.0800,461.0700,461.0800
1788356000,460.9600,460.9600,459.4200,460.1300
1788356001,460.3100,460.3100,460.0000,460.2200
1788356002,460.0000,460.3700,460.0000,460.2000
1788356004,460.1200,460.1300,460.0600,460.1300
1788356005,460.1200,460.1200,460.0600,460.1100
1788356008,460.1900,460.1900,460.1900,460.1900
1788356009,460.3300,460.4700,460.2800,460.3800
1788356010,460.2200,460.5300,460.2200,460.5300
1788356012,460.1100,460.2000,460.1100,460.2000
1788356014,460.1100,460.1100,460.0000,460.0000
1788356015,459.9100,459.9100,459.9000,459.9000
1788356016,459.8500,459.8500,459.8500,459.8500
1788356017,459.8400,459.8400,459.8400,459.8400
1788356018,459.8100,459.8200,459.7800,459.7800
1788356019,459.7700,460.1000,459.7200,459.7200
1788356020,459.5900,459.5900,459.4300,459.4300
1788356021,459.4000,459.4000,459.4000,459.4000
1788356022,459.3300,459.3300,459.3300,459.3300
1788356023,459.2300,459.3500,459.2200,459.3500
1788356024,459.2100,459.2100,459.2100,459.2100
1788356025,459.2800,459.3000,459.2800,459.3000
1788356031,459.4100,459.4100,458.9400,458.9400
1788356034,458.6500,458.6500,458.5000,458.6050
1788356035,458.7300,458.7300,458.6000,458.6000
1788356038,458.7800,458.8700,458.7800,458.8700
1788356040,459.0000,459.0300,459.0000,459.0300
1788356041,459.1200,459.1200,459.1200,459.1200
1788356045,459.2100,459.2100,459.0400,459.0400
1788356046,459.0000,459.0000,459.0000,459.0000
1788356048,459.2100,459.4200,459.2100,459.4200
1788356049,459.1900,459.1900,459.1600,459.1600
1788356050,459.1000,459.1000,459.0500,459.0500
1788356053,459.0000,459.0000,458.9500,458.9500
1788356055,459.0000,459.2300,459.0000,459.2300
1788356060,459.4100,459.5000,459.4100,459.5000
1788356061,459.3800,459.7000,459.3800,459.7000
1788356062,459.8000,459.8400,459.8000,459.8400
1788356063,460.0000,460.0500,459.7600,459.7600
1788356064,459.5000,459.5000,459.4700,459.4700
1788356067,459.3400,459.3400,459.3400,459.3400
1788356068,459.4100,459.4100,459.4100,459.4100
1788356071,459.3300,459.4100,459.3300,459.4100
1788356072,459.6500,459.7100,459.3000,459.3000
1788356081,459.2300,459.2300,458.8100,459.0100
1788356082,458.7500,458.7500,458.2500,458.2500
1788356083,458.3800,458.3800,458.3800,458.3800
1788356084,458.3200,458.3200,458.2600,458.2600
1788356090,458.4100,458.4100,458.3400,458.3400
1788356091,458.2500,458.2500,458.0000,458.2000
