ts,o,h,l,c
1787578200,259.6100,259.9000,259.4600,259.6500
1787578201,259.6500,259.9000,259.6400,259.9000
1787578202,259.9100,260.6100,259.9100,260.4000
1787578203,260.4000,260.4000,260.1600,260.1600
1787578204,260.1400,260.1400,259.6300,259.8300
1787578205,259.7500,259.8300,259.5000,259.5600
1787578206,259.5600,259.8900,259.3100,259.7350
1787578207,259.7350,259.7600,259.5200,259.6800
1787578208,259.6800,259.8500,259.6800,259.7700
1787578209,259.7400,259.7400,259.6300,259.7200
1787578210,259.6700,259.8450,259.6700,259.8450
1787578211,259.8300,259.8900,259.8300,259.8500
1787578212,259.8300,259.8300,259.8000,259.8000
1787578213,259.7500,259.7500,259.6600,259.7000
1787578214,259.6100,259.6100,259.5900,259.5900
1787578215,259.5900,259.5900,259.5900,259.5900
1787578216,259.6800,259.7100,259.6100,259.7100
1787578217,259.5900,259.5900,259.5700,259.5700
1787578219,259.5700,259.5700,259.3900,259.3900
1787578220,259.3500,259.3700,259.2500,259.3300
1787578221,259.4500,259.5500,259.4500,259.5500
1787578222,259.5400,259.5400,259.3000,259.3000
1787578223,259.4600,259.4800,259.4600,259.4800
1787578224,259.4700,259.5000,259.3500,259.3500
1787578225,259.3500,259.4400,259.2900,259.4400
1787578226,259.4900,259.4900,259.4900,259.4900
1787578229,259.4350,259.6000,259.4350,259.5000
1787578230,259.4500,259.5300,259.3400,259.5300
1787578231,259.4900,259.5800,259.4200,259.4700
1787578232,259.4700,259.4900,259.4350,259.4350
1787578234,259.4400,259.4900,259.4400,259.4900
1787578238,259.5200,259.5200,259.5200,259.5200
1787578242,259.4600,259.6500,259.3700,259.6500
1787578250,259.5900,259.6500,259.5900,259.6500
1787578251,259.6700,259.6900,259.5900,259.6900
1787578253,259.7400,259.7700,259.7400,259.7400
1787578254,259.7400,259.7500,259.7300,259.7300
1787578256,259.7200,259.7200,259.7200,259.7200
1787578257,259.8200,259.8200,259.8200,259.8200
1787578260,259.8500,260.0300,259.8500,260.0200
1787578261,259.8800,259.8800,259.2100,259.2100
1787578262,259.2500,259.3000,259.2500,259.3000
1787578263,259.3500,259.3500,259.3500,259.3500
1787578264,259.3400,259.3400,259.2500,259.2500
1787578265,259.2600,259.3500,259.1000,259.3500
1787578266,259.3000,259.3000,259.2900,259.2900
1787578268,259.1400,259.1900,259.1400,259.1800
1787578269,259.1000,259.2600,259.0900,259.2600
1787578272,259.1800,259.1800,259.1800,259.1800
1787578273,259.1800,259.2500,259.1400,259.1400
1787578274,259.1300,259.1300,259.1300,259.1300
1787578275,259.1200,259.1400,259.1100,259.1400
1787578276,259.0700,259.2100,259.0500,259.2100
1787578280,259.3000,259.4850,259.3000,259.4850
1787578281,259.4500,259.4500,259.4500,259.4500
1787578282,259.4500,259.8300,259.4500,259.8300
1787578283,259.8800,259.9100,259.8800,259.9100
1787578285,259.8800,259.8900,259.8800,259.8900
1787578286,259.9400,260.1900,259.9400,260.1900
1787578287,260.1300,260.1300,260.0950,260.1000
1787578288,260.1800,260.2900,260.1800,260.1800
1787578289,260.1500,260.1500,260.1400,260.1400
1787578290,260.1300,260.6600,260.1300,260.5700
1787578291,260.5300,260.5900,260.5200,260.5900
1787578292,260.5400,260.5500,260.4800,260.5400
1787578294,260.4700,260.4700,260.4200,260.4450
1787578295,260.3900,260.4400,260.3800,260.4050
1787578296,260.3300,260.3300,260.3300,260.3300
1787578297,260.3100,260.3200,260.3100,260.3200
1787578298,260.2100,260.3200,260.2100,260.3200
1787578300,260.3500,260.5650,260.3500,260.3900
1787578301,260.4550,260.4550,260.4500,260.4500
1787578302,260.3900,260.3900,260.3900,260.3900
1787578303,260.4700,260.4700,260.4700,260.4700
1787578307,260.4700,260.4700,260.3000,260.3000
1787578308,260.3700,260.4200,260.3700,260.4100
1787578309,260.4400,260.4900,260.4400,260.4900
1787578312,260.3550,260.3550,260.3550,260.3550
1787578314,260.3700,260.3700,260.3700,260.3700
1787578315,260.3700,260.3700,260.3700,260.3700
1787578318,260.4600,260.5000,260.4600,260.4800
1787578319,260.4800,260.8200,260.4800,260.7800
1787578320,260.7700,260.7700,260.7700,260.7700
1787578322,260.7000,260.7400,260.6500,260.6700
1787578323,260.6100,260.7800,260.5300,260.7800
1787578324,260.7700,260.8100,260.7500,260.7600
1787578325,260.7900,260.8100,260.7900,260.8100
1787578326,260.7900,260.8000,260.6800,260.6900
1787578327,260.6900,260.7100,260.6300,260.6300
1787578328,260.6300,260.6300,260.6300,260.6300
1787578329,260.5600,260.5700,260.5400,260.5700
1787578331,260.6100,260.7700,260.6100,260.7700
1787578333,260.8000,260.8000,260.8000,260.8000
1787578334,260.8400,260.8400,260.8000,260.8000
1787578335,260.8300,260.8400,260.7450,260.7450
1787578337,260.7400,260.7450,260.7400,260.7400
1787578339,260.7150,260.7150,260.6000,260.6000
1787578340,260.6000,260.8000,260.6000,260.7600
1787578341,260.8400,260.8400,260.8400,260.8400
1787578342,260.7500,260.7500,260.7400,260.7400
1787578345,260.8500,260.8500,260.8500,260.8500
1787578346,260.8800,261.1600,260.7500,260.7500
1787578347,260.7300,260.8450,260.7200,260.8450
1787578348,260.8000,260.8000,260.7000,260.7100
1787578349,260.6800,260.6800,260.5000,260.5600
1787578350,260.5300,260.6500,260.4700,260.6500
1787578354,260.7300,260.7500,260.7300,260.7500
1787578357,260.7300,260.7300,260.7300,260.7300
1787578358,260.6100,260.6100,260.5600,260.5650
1787578361,260.6500,260.6500,260.6500,260.6500
1787578365,260.6100,260.6100,260.6100,260.6100
1787578366,260.6100,260.7250,260.6100,260.7250
1787578367,260.7900,260.9900,260.7900,260.9900
1787578369,261.0500,261.0500,261.0000,261.0500
1787578371,261.1000,261.1000,260.9400,260.9400
1787578372,261.0000,261.0000,261.0000,261.0000
1787578373,261.0350,261.0350,261.0350,261.0350
1787578374,261.0900,261.0900,261.0500,261.0500
1787578376,261.0400,261.0400,261.0300,261.0400
1787578377,261.0300,261.0400,260.9500,261.0300
1787578380,260.9500,260.9500,260.9500,260.9500
1787578381,260.9500,260.9900,260.7200,260.7200
1787578382,260.6600,260.6900,260.6500,260.6700
1787578383,260.7250,260.7250,260.7200,260.7200
1787578385,260.6400,260.6400,260.6400,260.6400
1787578386,260.6600,260.6600,260.6300,260.6300
1787578387,260.6300,260.6300,260.5900,260.6000
1787578388,260.5500,260.5500,260.3600,260.3600
1787578389,260.3700,260.3700,260.3000,260.3000
1787578390,260.2600,260.2600,260.1900,260.2200
1787578391,260.1900,260.1900,260.0500,260.0850
1787578392,260.0900,260.0900,260.0900,260.0900
1787578393,260.1600,260.1600,260.1600,260.1600
1787578394,260.0900,260.0900,260.0200,260.0700
1787578395,260.0700,260.0700,259.9000,259.9000
1787578396,259.9000,259.9000,259.8700,259.8700
1787578397,259.8600,259.8600,259.8500,259.8500
1787578398,259.8500,259.8500,259.8100,259.8100
1787578399,259.7750,259.7750,259.7750,259.7750
1787578401,259.8200,259.8200,259.8200,259.8200
1787578402,259.7950,259.8700,259.7950,259.8700
1787578403,259.8700,259.8700,259.8650,259.8650
1787578404,259.9700,260.1200,259.9700,260.0900
1787578405,260.1600,260.1900,260.0800,260.0800
1787578407,260.1000,260.1000,260.1000,260.1000
1787578409,260.1300,260.1300,260.1300,260.1300
1787578410,260.1200,260.1200,260.1200,260.1200
1787578412,260.1000,260.1000,260.0500,260.0900
1787578413,260.0800,260.1400,260.0800,260.1400
1787578414,260.1150,260.1300,260.1150,260.1300
1787578416,260.1150,260.1150,260.1150,260.1150
1787578417,260.0500,260.0500,260.0300,260.0400
1787578418,260.0400,260.0500,260.0100,260.0100
1787578419,260.0800,260.2200,260.0800,260.2200
1787578420,260.3000,260.3400,260.3000,260.3400
1787578422,260.4300,260.4300,260.3800,260.3800
1787578424,260.3500,260.3700,260.1500,260.1500
1787578425,260.1000,260.1000,260.1000,260.1000
1787578426,260.1300,260.2300,260.1300,260.2300
1787578427,260.2300,260.3000,260.2300,260.3000
1787578428,260.3050,260.3050,260.3050,260.3050
1787578429,260.3100,260.3500,260.3100,260.3500
1787578430,260.4000,260.4100,260.4000,260.4100
1787578431,260.3300,260.3650,260.3300,260.3650
1787578435,260.3000,260.3800,260.3000,260.3800
1787578436,260.4300,260.4300,260.4300,260.4300
1787578437,260.4100,260.4100,260.4100,260.4100
1787578438,260.4350,260.5000,260.4350,260.4450
1787578439,260.4350,260.4350,260.4350,260.4350
1787578441,260.4200,260.4200,260.4200,260.4200
1787578442,260.3800,260.3800,260.2700,260.3600
1787578443,260.3500,260.3500,260.3500,260.3500
1787578444,260.3400,260.3400,260.3400,260.3400
1787578445,260.2500,260.2800,260.2000,260.2100
1787578446,260.2900,260.2900,260.2900,260.2900
1787578447,260.2500,260.2500,260.2500,260.2500
1787578449,260.2300,260.2400,260.2300,260.2400
1787578450,260.2400,260.2400,260.2000,260.2000
1787578451,260.1800,260.1800,260.1050,260.1050
