ts,o,h,l,c
1788442200,340.2500,340.4600,340.1500,340.4600
1788442201,340.4400,340.6400,340.0600,340.4500
1788442202,340.4000,341.0000,340.4000,340.8000
1788442203,340.8900,341.0000,340.7900,340.8800
1788442204,340.8800,340.9200,340.6400,340.7600
1788442205,340.7400,340.7400,340.3700,340.3700
1788442206,340.4200,340.4800,340.4200,340.4800
1788442207,340.6500,340.9600,340.6500,340.8000
1788442208,340.6500,340.8300,340.6500,340.8100
1788442209,340.9900,341.3000,340.9400,341.1200
1788442210,341.2500,341.5200,341.2100,341.4300
1788442211,341.4300,341.5500,341.2600,341.5500
1788442212,341.6000,341.7500,341.4900,341.7500
1788442213,341.6900,341.8500,341.6900,341.8500
1788442214,341.7300,341.7600,341.6600,341.6900
1788442215,341.7300,341.8800,341.7050,341.8700
1788442216,341.8250,342.0000,341.8250,341.9600
1788442217,341.9400,342.1000,341.9400,342.1000
1788442218,342.0600,342.1500,342.0600,342.1250
1788442219,342.1000,342.1000,342.0300,342.0400
1788442220,342.0500,342.0800,342.0500,342.0800
1788442221,342.1500,342.3000,342.1500,342.2800
1788442222,342.3000,342.4100,342.2800,342.2800
1788442223,342.3500,342.4000,342.3200,342.3500
1788442224,342.3800,342.5100,342.3800,342.5000
1788442225,342.5200,342.5300,342.2900,342.3200
1788442226,342.3300,342.4200,342.3200,342.3200
1788442227,342.2900,342.2900,342.2600,342.2600
1788442228,342.3100,342.4500,342.2800,342.3100
1788442229,342.3350,342.4100,342.3350,342.4000
1788442230,342.3900,342.5100,342.3700,342.3700
1788442231,342.3700,342.3700,342.0700,342.1400
1788442232,342.2150,342.3400,342.2150,342.2500
1788442233,342.3400,342.3500,342.1300,342.2700
1788442234,342.2700,342.2700,341.9000,341.9000
1788442235,341.7500,341.8800,341.5800,341.7200
1788442236,341.8100,341.8300,341.8100,341.8300
1788442237,341.8600,341.9300,341.8350,341.8350
1788442238,341.7500,341.7700,341.6900,341.7600
1788442239,341.8000,341.8600,341.8000,341.8600
1788442241,341.9000,341.9000,341.7500,341.7800
1788442242,341.7950,341.7950,341.7950,341.7950
1788442243,341.8100,341.8500,341.8100,341.8500
1788442244,341.8600,342.0100,341.7700,341.8900
1788442245,341.8550,341.8550,341.8550,341.8550
1788442246,341.8600,341.8600,341.8600,341.8600
1788442248,341.8500,341.8500,341.4100,341.4700
1788442249,341.4100,341.4100,341.3900,341.3950
1788442250,341.3950,341.5500,341.3950,341.5500
1788442251,341.6300,341.6700,341.6300,341.6700
1788442252,341.6700,341.6700,341.6700,341.6700
1788442254,341.7750,341.7750,341.7750,341.7750
1788442257,341.7200,341.7200,341.5700,341.5700
1788442260,341.6700,341.8600,341.6700,341.8600
1788442261,341.7700,341.7700,341.6500,341.6500
1788442262,341.6400,341.6400,341.6400,341.6400
1788442263,341.6950,341.6950,341.6200,341.6700
1788442264,341.6800,341.6800,341.5000,341.6100
1788442265,341.5700,341.5700,341.5700,341.5700
1788442266,341.6800,341.6800,341.6800,341.6800
1788442269,341.5400,341.5450,341.5400,341.5450
1788442270,341.5200,341.5500,341.5200,341.5500
1788442271,341.4900,341.5500,341.4300,341.5500
1788442272,341.5600,341.5600,341.2400,341.2900
1788442273,341.2300,341.2300,341.2300,341.2300
1788442274,341.2700,341.2800,341.2700,341.2800
1788442275,341.2900,341.2900,341.2900,341.2900
1788442276,341.2500,341.4700,341.2200,341.4700
1788442277,341.3100,341.3100,341.3100,341.3100
1788442278,341.4300,341.4700,341.4300,341.4700
1788442279,341.5700,341.6900,341.4200,341.4200
1788442280,341.4250,341.4700,341.4250,341.4700
1788442282,341.5000,341.5200,341.5000,341.5200
1788442283,341.4200,341.6600,341.4200,341.5500
1788442286,341.6200,341.6200,341.6200,341.6200
1788442288,341.5700,341.8100,341.5700,341.8000
1788442289,341.8000,341.8100,341.8000,341.8100
1788442290,341.8100,341.9500,341.8100,341.8900
1788442291,341.9300,342.0000,341.8300,341.9200
1788442292,341.8800,341.9900,341.8800,341.9700
1788442293,341.9500,342.0000,341.9500,342.0000
1788442294,342.0000,342.0000,341.8800,341.9150
1788442295,341.9200,341.9300,341.8400,341.9150
1788442296,341.9000,341.9000,341.9000,341.9000
1788442297,341.9000,341.9000,341.9000,341.9000
1788442298,341.9200,342.0000,341.8600,341.8600
1788442299,342.0700,342.1200,342.0600,342.0900
1788442300,342.1100,342.2500,342.1100,342.2500
1788442302,342.2500,342.2500,342.2450,342.2450
1788442303,342.2500,342.2800,342.2500,342.2800
1788442304,342.2900,342.3100,342.2900,342.3100
1788442305,342.3400,342.3500,342.2900,342.2900
1788442306,342.2700,342.2700,342.1700,342.2250
1788442307,342.2000,342.2050,342.1300,342.2050
1788442309,342.2900,342.3000,342.1900,342.2000
1788442310,342.1800,342.2700,342.1300,342.2700
1788442311,342.3500,342.5800,342.3400,342.4800
1788442312,342.4500,342.4500,342.4500,342.4500
1788442313,342.5200,342.5200,342.5200,342.5200
