ts,o,h,l,c
1788874200,616.4900,616.6000,615.5000,615.7100
1788874201,616.0600,616.8300,615.5100,615.6200
1788874202,616.0500,616.0500,615.3800,615.3800
1788874203,615.5500,617.7000,615.1700,617.7000
1788874204,617.5100,618.0000,616.3800,617.6600
1788874205,617.6600,617.6600,616.6700,616.6700
1788874206,616.8500,616.8500,616.8300,616.8300
1788874207,617.3700,618.0900,617.3700,617.6500
1788874210,618.1000,618.2100,617.5300,617.8300
1788874211,618.2100,618.2100,618.2100,618.2100
1788874212,617.6700,618.0800,617.6700,617.9500
1788874213,618.2100,618.7800,618.2100,618.7800
1788874215,618.8000,618.8900,618.7900,618.8900
1788874216,618.9000,619.6300,618.8200,619.6300
1788874217,619.6600,619.8000,619.2850,619.2850
1788874218,619.1600,619.4000,619.1600,619.4000
1788874219,618.9300,619.0500,617.6600,617.9500
1788874220,617.7000,618.1000,617.6900,618.1000
1788874222,618.4200,618.8900,618.4200,618.8800
1788874223,618.4300,618.4300,618.4300,618.4300
1788874227,618.2600,618.2600,618.1350,618.2500
1788874229,618.4200,618.4200,618.4200,618.4200
1788874230,618.2000,618.2500,617.6700,618.1000
1788874232,618.2900,618.3600,617.9300,618.3600
1788874240,618.2200,618.4050,618.0100,618.4050
1788874242,618.3400,618.3400,618.3400,618.3400
1788874243,618.2500,618.6800,618.2500,618.6800
1788874244,618.4750,618.4750,618.4750,618.4750
1788874249,618.5950,618.5950,618.5950,618.5950
1788874250,618.3400,618.3800,618.3400,618.3800
1788874251,618.4000,618.5400,617.8800,617.9300
1788874253,617.6800,617.6800,617.5400,617.5400
1788874254,617.5000,617.5000,617.4500,617.4500
1788874255,617.5000,617.5000,617.5000,617.5000
1788874257,617.4500,617.4500,617.1300,617.1300
1788874259,617.3850,617.3850,617.3850,617.3850
1788874260,617.4900,617.6400,617.1300,617.6400
1788874263,617.4300,617.4300,616.8700,617.3700
1788874265,617.5200,617.8300,617.5200,617.8300
1788874271,617.5700,617.5700,617.5600,617.5600
