ts,o,h,l,c
1787578200,483.1800,483.2900,483.0300,483.0600
1787578201,483.1200,483.6900,482.7800,482.7800
1787578202,482.7800,483.9000,482.6000,483.4000
1787578203,483.7500,483.7500,483.1300,483.4700
1787578204,483.6100,484.6800,483.6100,484.1100
1787578205,484.2400,484.9800,484.2400,484.8600
1787578206,484.5800,485.2200,484.0100,484.2700
1787578207,484.3700,484.9600,484.3500,484.9600
1787578209,484.9900,484.9900,484.9900,484.9900
1787578210,484.8600,485.2400,484.8600,485.2400
1787578211,485.2500,485.5000,485.2500,485.3400
1787578212,485.6000,485.6000,485.2500,485.2500
1787578213,485.2800,485.2800,485.2300,485.2300
1787578215,485.3100,485.3700,485.3100,485.3100
1787578216,485.2600,485.2600,485.2300,485.2300
1787578217,485.2300,485.3600,485.2300,485.3600
1787578218,485.4900,485.5300,484.9600,485.4200
1787578219,485.0700,485.4300,485.0700,485.4300
1787578220,484.9600,484.9600,484.9200,484.9200
1787578221,485.0150,485.0150,484.6400,484.7100
1787578222,484.7600,484.8800,484.6300,484.6300
1787578224,484.7300,484.7300,484.6800,484.6800
1787578225,484.7200,485.2400,484.7100,485.2400
1787578227,485.2600,485.2600,485.2600,485.2600
1787578228,485.0200,485.0200,485.0200,485.0200
1787578229,485.0200,485.1300,485.0000,485.1300
1787578230,485.1950,485.1950,485.1950,485.1950
1787578232,485.0600,485.1300,484.6400,484.6400
1787578233,484.6400,484.6400,484.5500,484.6200
1787578234,484.4300,484.4300,484.4300,484.4300
1787578236,484.4000,484.4000,484.0000,484.0000
1787578237,484.0100,484.1700,484.0000,484.1000
1787578239,484.1700,484.2100,484.0650,484.0650
1787578241,484.1300,484.2000,484.0200,484.1500
1787578242,484.0600,484.0600,483.8500,483.8600
1787578243,483.8200,483.8200,483.3500,483.3500
1787578244,483.6700,483.6900,483.6700,483.6900
1787578245,483.6700,483.9000,483.6400,483.9000
1787578246,483.8700,483.8700,483.2050,483.2050
1787578248,483.2750,483.2750,483.2750,483.2750
1787578249,483.2800,483.4000,483.2800,483.2850
1787578250,483.2600,483.2700,483.1200,483.1500
1787578252,483.0900,483.1300,482.8900,482.9000
1787578253,482.8600,482.8600,482.8400,482.8400
1787578254,482.8400,482.8400,482.8400,482.8400
1787578255,482.8300,482.8500,482.8000,482.8500
1787578256,482.9600,483.0800,482.6800,482.7100
1787578257,482.6900,482.7200,482.4000,482.5000
1787578260,482.6900,483.3700,482.6550,483.1200
1787578261,483.2000,483.2000,482.9200,482.9200
1787578262,482.9200,483.0500,482.9200,483.0500
1787578264,483.1300,483.1300,483.1300,483.1300
1787578265,483.1900,483.2100,483.1700,483.1800
1787578266,483.0200,483.0200,482.9900,482.9900
1787578267,482.8400,482.8400,482.7600,482.7600
1787578268,482.7300,482.7300,482.7300,482.7300
1787578269,482.9500,482.9500,482.9500,482.9500
1787578270,482.9350,482.9350,482.6000,482.6000
1787578271,482.5000,482.7500,482.3800,482.7300
1787578272,482.6100,482.6100,482.6100,482.6100
1787578275,482.6800,482.9500,482.6700,482.9000
1787578277,482.7950,482.9000,482.7950,482.9000
1787578278,482.7100,482.7100,482.1100,482.2000
1787578279,482.1300,482.2650,482.0000,482.0600
1787578281,482.2300,482.3600,482.2300,482.3600
1787578282,482.4250,482.4250,482.2600,482.2600
1787578284,482.5000,482.7100,482.5000,482.6300
1787578285,482.7800,482.9700,482.7800,482.9700
1787578286,482.9800,482.9800,482.9800,482.9800
1787578287,482.7900,482.9100,482.7200,482.7200
1787578289,482.6900,482.7600,482.6900,482.7600
1787578290,482.7600,483.0600,482.7600,483.0000
1787578291,483.0750,483.0750,483.0750,483.0750
1787578292,482.9200,483.0000,482.8200,482.8200
1787578295,482.7100,482.8900,482.7100,482.7500
1787578296,482.7200,482.7200,482.7200,482.7200
1787578297,482.8600,482.9100,482.7100,482.8350
1787578299,482.8900,482.8900,482.8900,482.8900
1787578300,482.9600,483.0700,482.9600,483.0700
1787578301,483.0750,483.0750,483.0750,483.0750
1787578303,482.9500,482.9500,482.9050,482.9100
1787578304,483.0800,483.0800,483.0800,483.0800
1787578306,483.1600,483.2700,483.1600,483.1900
1787578309,483.1000,483.1300,483.0000,483.0000
1787578310,482.9900,482.9900,482.8800,482.8800
1787578311,482.9250,482.9250,482.8200,482.8200
1787578313,482.9450,482.9450,482.9450,482.9450
1787578315,482.9400,482.9400,482.6800,482.6800
1787578316,482.8400,482.9200,482.8400,482.9200
1787578319,483.0300,483.0300,483.0300,483.0300
1787578320,483.0300,483.0300,483.0300,483.0300
1787578322,483.2300,483.2300,483.2300,483.2300
1787578323,483.1850,483.4400,483.1850,483.4400
1787578324,483.4800,483.7100,483.4800,483.6700
1787578325,483.8000,483.8000,483.8000,483.8000
1787578326,483.8850,483.8850,483.8850,483.8850
1787578328,483.7800,483.7800,483.5100,483.5100
1787578336,483.3900,483.3900,483.3900,483.3900
1787578339,483.0600,483.1700,483.0300,483.0300
1787578340,483.0400,483.0600,483.0300,483.0300
1787578341,482.9300,482.9600,482.9300,482.9600
1787578343,482.7500,482.7500,482.7500,482.7500
1787578346,482.7500,482.7500,482.5000,482.5550
1787578347,482.4700,482.4700,482.2950,482.2950
1787578350,482.1400,482.2700,482.1100,482.2700
1787578353,482.2300,482.2300,482.2300,482.2300
1787578355,482.2100,482.2100,482.1600,482.1600
1787578357,482.2800,482.4700,482.2800,482.4700
1787578358,482.5800,482.5800,482.5800,482.5800
1787578359,482.4000,482.4000,482.3800,482.3800
1787578368,482.4800,482.5000,482.4800,482.5000
1787578371,482.3500,482.3500,482.3500,482.3500
1787578372,482.2900,482.3150,482.2100,482.3150
1787578373,482.3800,482.3800,482.1600,482.1600
1787578374,482.2300,482.2400,482.2300,482.2400
1787578375,482.3100,482.3100,482.3100,482.3100
1787578376,482.3300,482.3300,482.3300,482.3300
1787578378,482.3400,482.3400,482.3100,482.3200
1787578379,482.2800,482.2800,482.2800,482.2800
1787578380,482.1300,482.1300,482.0000,482.0000
1787578381,482.0000,482.1000,481.9900,482.1000
1787578382,481.9000,481.9000,481.8600,481.8600
1787578383,481.9400,481.9400,481.9400,481.9400
1787578385,481.9500,482.0600,481.9500,482.0600
1787578389,481.9100,482.0300,481.9000,481.9900
1787578392,481.9300,481.9300,481.9300,481.9300
1787578393,482.0000,482.1700,482.0000,482.0900
1787578397,482.1900,482.2200,482.1400,482.1400
1787578398,482.1400,482.1400,482.1400,482.1400
1787578399,482.0800,482.0800,481.9800,482.0600
1787578400,482.0900,482.0900,482.0900,482.0900
1787578401,482.0500,482.0700,482.0500,482.0700
1787578404,482.2800,482.2800,482.1900,482.1900
1787578407,482.2500,482.2500,482.2500,482.2500
1787578409,482.2400,482.3500,482.2400,482.3500
1787578411,482.2000,482.2000,482.1900,482.1900
1787578412,482.2000,482.4800,482.2000,482.3900
1787578413,482.4400,482.7700,482.4300,482.7700
1787578414,482.8000,482.8000,482.7050,482.7050
1787578415,482.7500,482.7800,482.7500,482.7800
1787578416,482.6500,482.6500,482.6300,482.6300
1787578417,482.6200,482.7100,482.5150,482.5150
1787578419,482.5300,482.5300,482.5000,482.5000
1787578421,482.7000,482.7000,482.6300,482.6550
1787578422,482.6550,482.7400,482.6550,482.7400
1787578423,482.7850,482.7850,482.7850,482.7850
1787578424,482.7850,482.7850,482.5850,482.6900
1787578425,482.5100,482.6500,482.5100,482.6500
1787578426,482.6200,482.6200,482.6200,482.6200
1787578427,482.5000,482.6800,482.4900,482.6800
1787578428,482.7700,482.9300,482.7700,482.9300
1787578429,482.9700,482.9700,482.8600,482.8600
1787578431,482.8000,482.8300,482.8000,482.8000
1787578432,482.6700,482.6700,482.6000,482.6700
1787578433,482.6700,482.6700,482.5600,482.5800
1787578438,482.6550,482.7500,482.6550,482.7400
1787578439,482.6650,482.8000,482.6650,482.7700
1787578440,482.6900,482.7000,482.5800,482.7000
1787578441,482.8500,482.9000,482.5000,482.5000
1787578442,482.4800,482.5700,482.4700,482.5500
1787578443,482.5300,482.5500,482.4100,482.5300
1787578444,482.5100,482.5100,482.5100,482.5100
1787578445,482.4100,482.4700,482.3700,482.3700
1787578448,482.2000,482.2000,482.1600,482.1600
1787578449,482.3000,482.4200,482.3000,482.3800
1787578451,482.4900,482.4900,482.4900,482.4900
1787578452,482.5100,482.5900,482.5100,482.5400
1787578453,482.4000,482.5150,482.4000,482.5150
1787578454,482.4700,482.5000,482.4100,482.5000
1787578455,482.3900,482.6000,482.3900,482.6000
1787578456,482.5000,482.5000,482.5000,482.5000
1787578457,482.4800,482.4800,482.4000,482.4000
1787578458,482.5000,482.6000,482.5000,482.6000
1787578459,482.6200,482.8800,482.6200,482.8800
1787578461,482.9500,483.2700,482.9500,483.1600
1787578464,483.2300,483.6400,483.2300,483.5400
1787578466,483.6350,483.7100,483.6350,483.7100
1787578467,483.7300,483.7500,483.7300,483.7500
1787578468,483.7500,483.8500,483.6800,483.6800
1787578474,483.8700,484.0100,483.8700,484.0100
1787578475,484.0600,484.0700,484.0100,484.0100
1787578476,484.0000,484.0000,484.0000,484.0000
1787578478,484.0600,484.0800,484.0000,484.0600
1787578479,484.1000,484.1700,484.1000,484.1000
1787578480,484.1000,484.1100,484.0700,484.0700
1787578481,484.0200,484.0200,483.6000,483.6000
1787578482,483.5100,483.5600,483.4000,483.4000
1787578483,483.1500,483.2400,483.0400,483.2400
1787578487,483.1400,483.1400,483.1400,483.1400
1787578490,483.1300,483.2300,483.1300,483.2300
1787578491,483.4300,483.4300,483.4300,483.4300
1787578492,483.4650,483.4650,483.4650,483.4650
1787578494,483.4600,483.4900,483.4600,483.4900
1787578496,483.6500,483.6700,483.6500,483.6700
1787578498,483.5800,483.5800,483.5800,483.5800
1787578500,483.5700,483.5700,483.4100,483.4100
1787578502,483.5000,483.5000,483.3100,483.3100
1787578503,483.4500,483.7300,483.4500,483.7300
1787578504,483.6900,483.6900,483.5900,483.6750
1787578505,483.7000,483.7000,483.7000,483.7000
1787578507,483.5800,483.5800,483.5800,483.5800
1787578508,483.6100,483.6100,483.6100,483.6100
1787578510,483.6200,483.6200,483.3900,483.3900
1787578512,483.3700,483.3700,483.3700,483.3700
1787578515,483.2800,483.2800,483.2800,483.2800
1787578516,483.2800,483.2800,483.1800,483.1800
1787578517,483.1700,483.2200,483.1700,483.1800
1787578518,483.1950,483.1950,483.1950,483.1950
1787578519,483.3300,483.3600,483.3000,483.3600
1787578520,483.2700,483.2700,483.2700,483.2700
1787578521,483.2000,483.2000,483.2000,483.2000
1787578522,483.1400,483.1400,483.0000,483.1300
1787578527,483.2100,483.2900,483.2100,483.2900
1787578528,483.3700,483.6800,483.3700,483.6800
1787578534,483.7700,483.9400,483.7700,483.8000
1787578540,483.9100,483.9400,483.9100,483.9400
1787578542,483.8700,484.0200,483.8700,483.9800
1787578543,483.9600,484.0700,483.9400,483.9400
1787578546,484.0200,484.0200,484.0200,484.0200
1787578548,484.0350,484.0350,484.0350,484.0350
1787578549,484.1000,484.1300,484.1000,484.1300
1787578550,484.1800,484.1800,483.9800,483.9800
1787578551,484.0300,484.0300,484.0300,484.0300
1787578552,484.1500,484.1500,484.1500,484.1500
1787578553,484.0500,484.0500,484.0300,484.0300
1787578554,484.0100,484.1100,483.9600,484.1100
1787578555,484.1450,484.1450,483.9500,483.9500
1787578556,483.9200,484.0700,483.9200,484.0700
1787578558,484.0200,484.0200,484.0000,484.0000
1787578559,483.9600,483.9650,483.9600,483.9650
1787578563,484.0800,484.0800,484.0800,484.0800
1787578564,484.0600,484.0600,483.7400,483.7400
1787578565,483.6600,483.6600,483.5700,483.5750
1787578566,483.4400,483.4400,483.4400,483.4400
1787578569,483.4000,483.4000,483.4000,483.4000
1787578570,483.3300,483.3300,483.3100,483.3100
1787578572,483.2500,483.2500,483.2400,483.2400
1787578573,483.3700,483.4100,483.3700,483.4100
1787578574,483.4100,483.4100,483.4100,483.4100
1787578575,483.2800,483.2800,483.2400,483.2400
1787578576,483.3400,483.4200,483.2800,483.4200
1787578578,483.5700,483.5800,483.5700,483.5800
1787578580,483.7600,483.7700,483.7600,483.7600
1787578585,483.7100,483.7100,483.4400,483.5500
1787578590,483.5700,483.7100,483.5700,483.7100
1787578591,483.7200,483.7200,483.7200,483.7200
1787578596,483.7900,483.7900,483.7500,483.7600
1787578597,483.8300,483.8800,483.8300,483.8700
1787578598,483.9100,483.9600,483.9100,483.9600
1787578599,483.9300,483.9300,483.9200,483.9200
1787578600,483.8000,483.8000,483.5200,483.5200
1787578601,483.6000,483.6100,483.3900,483.4100
1787578605,483.2100,483.2100,483.2100,483.2100
1787578606,483.3400,483.3400,483.3100,483.3100
1787578608,483.3900,483.3900,483.3900,483.3900
1787578610,483.4500,483.4600,483.4500,483.4600
1787578612,483.4850,483.4850,483.4850,483.4850
1787578613,483.6400,483.7800,483.6400,483.7800
1787578614,483.7500,483.7500,483.7500,483.7500
1787578615,483.7150,483.7150,483.7150,483.7150
1787578618,483.7800,483.8500,483.7800,483.8200
1787578619,483.8500,483.8500,483.8500,483.8500
1787578622,483.8500,483.9400,483.8500,483.8500
1787578623,483.8200,483.9000,483.8200,483.9000
1787578624,483.7900,483.8100,483.7300,483.7300
1787578625,483.8300,483.8300,483.8300,483.8300
1787578626,483.9600,484.0000,483.8500,483.9100
1787578628,483.9100,484.0500,483.9100,484.0500
1787578630,484.0200,484.0200,483.9300,483.9300
1787578633,484.1500,484.1500,484.0400,484.0400
1787578636,483.9800,483.9800,483.9700,483.9750
1787578637,483.9100,483.9100,483.9100,483.9100
1787578641,483.7200,483.7200,483.6300,483.6300
1787578642,483.6200,483.6200,483.6200,483.6200
1787578644,483.5300,483.7000,483.4600,483.4600
1787578648,483.6400,483.6600,483.6400,483.6600
1787578654,483.6400,483.7700,483.6300,483.7700
1787578655,483.8500,483.8500,483.8500,483.8500
1787578656,483.8500,484.0200,483.8500,484.0200
1787578657,484.0300,484.0300,484.0300,484.0300
1787578663,483.9900,483.9900,483.9800,483.9800
1787578664,483.9300,484.0300,483.7300,483.8100
1787578666,483.8600,483.8600,483.8600,483.8600
1787578667,483.7500,483.7500,483.7000,483.7050
1787578671,483.6650,483.6650,483.6650,483.6650
1787578672,483.7600,483.7600,483.7100,483.7100
1787578674,483.6900,483.6900,483.6900,483.6900
1787578677,483.7350,483.7800,483.6600,483.7800
1787578681,483.8200,483.9100,483.8000,483.9100
1787578682,483.8800,483.8800,483.8800,483.8800
1787578683,483.9900,484.0000,483.9800,483.9800
1787578684,484.1100,484.1500,484.1100,484.1300
1787578686,484.1100,484.1600,484.0100,484.1600
1787578687,484.1700,484.1700,484.0600,484.1100
1787578690,484.1900,484.2000,484.1900,484.2000
1787578691,484.1300,484.1800,484.1200,484.1800
1787578692,484.1800,484.1800,484.1800,484.1800
1787578693,484.1800,484.2500,484.1800,484.2500
1787578694,484.2200,484.2200,484.1800,484.1800
1787578695,484.1400,484.1400,484.1400,484.1400
1787578697,484.1300,484.1300,484.1300,484.1300
1787578698,484.2700,484.2800,484.2700,484.2800
1787578699,484.3100,484.3300,484.3100,484.3300
1787578700,484.4200,484.4600,484.4200,484.4550
1787578701,484.3700,484.4400,484.3700,484.4400
1787578702,484.4050,484.4050,484.3200,484.3200
1787578703,484.2600,484.2600,484.2000,484.2000
1787578704,484.1600,484.2200,484.1600,484.2200
1787578705,484.1300,484.1300,484.1000,484.1000
1787578706,484.1000,484.1000,483.5900,483.5900
1787578707,483.8200,483.8800,483.8200,483.8800
1787578708,483.8900,483.9500,483.8900,483.9500
1787578709,483.9900,484.0000,483.9900,484.0000
1787578710,483.8600,483.9300,483.7600,483.9300
1787578713,483.8800,484.2000,483.8700,484.2000
1787578714,484.1300,484.1300,484.1100,484.1100
1787578719,484.2400,484.2500,484.2400,484.2500
1787578722,484.1600,484.1600,484.1000,484.1000
1787578723,484.1600,484.1600,484.1600,484.1600
1787578724,484.1000,484.1400,484.1000,484.1400
1787578725,484.1000,484.1000,484.1000,484.1000
1787578727,484.0700,484.0700,483.9250,483.9250
1787578730,483.9050,483.9100,483.9050,483.9100
1787578731,483.8300,483.8300,483.8100,483.8100
1787578732,483.7200,483.7200,483.7000,483.7000
1787578733,483.7000,483.7000,483.7000,483.7000
1787578736,483.7900,483.8000,483.7900,483.8000
1787578737,483.9100,483.9100,483.9100,483.9100
1787578742,483.7850,483.9200,483.7850,483.9200
1787578743,483.9700,484.0100,483.9700,484.0100
1787578744,484.1700,484.1700,484.1300,484.1300
1787578745,484.1900,484.1900,484.1900,484.1900
1787578746,484.1200,484.2500,484.1200,484.2500
1787578748,484.3000,484.3500,484.3000,484.3100
1787578749,484.4200,484.5000,484.4200,484.5000
1787578750,484.4300,484.4300,484.4200,484.4200
1787578754,484.4700,484.4700,484.4300,484.4300
1787578755,484.4200,484.4200,484.4200,484.4200
1787578757,484.3700,484.3900,484.3300,484.3900
1787578758,484.3300,484.3300,484.2000,484.2000
1787578759,484.2900,484.2900,484.2900,484.2900
1787578761,484.1900,484.1900,484.1600,484.1600
1787578763,484.2800,484.5200,484.2800,484.5200
1787578764,484.5200,484.6900,484.5200,484.6900
1787578765,484.6850,484.6850,484.6850,484.6850
1787578766,484.7200,484.7200,484.7200,484.7200
1787578767,484.6100,484.6100,484.6000,484.6000
1787578770,484.6000,484.6000,484.5200,484.5200
1787578771,484.5400,484.5650,484.5400,484.5650
1787578772,484.6700,484.6800,484.6350,484.6350
1787578773,484.6800,484.7000,484.6800,484.7000
1787578774,484.7000,484.7000,484.7000,484.7000
1787578775,484.6500,484.6700,484.6200,484.6200
1787578777,484.5900,484.5900,484.5900,484.5900
1787578778,484.6300,484.6500,484.6300,484.6500
