ts,o,h,l,c
1787664600,349.5900,350.5700,349.5000,350.0300
1787664601,350.0300,350.3200,349.7000,350.3200
1787664602,350.3000,350.8500,350.2400,350.5700
1787664603,350.5600,350.6900,350.2200,350.6500
1787664604,350.5550,351.1500,350.5550,351.0000
1787664605,350.8600,351.0200,350.8500,351.0200
1787664606,350.9100,350.9600,350.3500,350.3500
1787664607,350.4650,350.6900,350.3800,350.6900
1787664608,350.7400,350.7400,350.6600,350.6600
1787664609,350.7400,350.7400,350.7400,350.7400
1787664610,350.7800,351.3300,350.7800,351.0800
1787664611,351.2600,351.4600,351.0800,351.0800
1787664612,351.1800,351.6100,351.1800,351.5100
1787664613,351.5800,351.8150,351.5400,351.7300
1787664614,351.6400,351.6400,351.5300,351.5300
1787664615,351.6100,351.7000,351.5300,351.7000
1787664616,351.6600,351.6600,351.6600,351.6600
1787664617,351.7700,351.8800,351.4400,351.4400
1787664618,351.4400,351.5500,351.3800,351.4900
1787664619,351.4500,351.4600,351.2600,351.4600
1787664620,351.5900,351.7500,351.5900,351.7500
1787664621,351.7600,352.1300,351.7600,352.0050
1787664622,351.8900,351.9200,351.7400,351.9200
1787664623,351.9900,351.9900,351.9900,351.9900
1787664624,351.8500,351.8500,351.7300,351.7300
1787664625,351.7300,351.8500,351.7000,351.8200
1787664626,351.7800,351.7800,351.5500,351.6000
1787664627,351.6650,351.8800,351.6650,351.8800
1787664629,351.9500,352.0000,351.8000,351.8000
1787664630,351.8300,351.8300,351.7400,351.7400
1787664631,351.6900,351.6900,351.2800,351.3400
1787664632,351.3000,351.4900,351.2700,351.3200
1787664633,351.3100,351.3100,351.3000,351.3000
1787664634,351.2500,351.3100,351.2500,351.3100
1787664635,351.2700,351.3200,351.0500,351.1800
1787664636,351.1800,351.1800,351.1800,351.1800
1787664637,351.0800,351.0800,350.6600,350.6600
1787664638,350.7400,350.7500,350.7300,350.7300
1787664640,350.6700,351.1500,350.6700,350.8200
1787664642,350.5600,350.5600,350.4000,350.4600
1787664643,350.7400,350.7400,350.7400,350.7400
1787664645,350.9400,350.9500,350.8700,350.9000
1787664646,351.0700,351.0700,351.0700,351.0700
1787664647,351.0700,351.0700,351.0700,351.0700
1787664649,351.0400,351.2100,351.0300,351.2100
1787664650,351.2600,351.2900,351.1800,351.1800
1787664651,351.1900,351.1900,350.9500,351.0400
1787664652,351.0500,351.0500,350.9800,350.9800
1787664653,350.9700,351.0300,350.9400,351.0300
1787664654,350.9600,350.9700,350.6000,350.6000
1787664656,350.6900,350.7200,350.6900,350.7200
1787664657,350.6100,350.6100,350.6100,350.6100
1787664658,350.7000,351.0500,350.7000,350.8300
1787664660,350.7800,350.7800,350.2900,350.4100
1787664661,350.4100,350.5750,350.3500,350.4700
1787664662,350.5000,350.7700,350.5000,350.7100
1787664663,350.5200,350.5200,350.1600,350.2700
1787664664,350.2500,350.4750,350.1900,350.4750
1787664665,350.5400,350.6400,350.5400,350.5700
1787664666,350.5700,350.5700,350.4500,350.5000
1787664667,350.4500,350.4500,350.2900,350.3400
1787664668,350.3000,350.3000,350.1500,350.2900
1787664669,350.2900,350.2900,350.2900,350.2900
1787664670,350.3050,350.3800,350.3050,350.3300
1787664671,350.4500,350.5500,350.4500,350.5500
1787664672,350.8000,350.8500,350.8000,350.8500
1787664675,350.5300,350.5300,350.3800,350.3800
1787664676,350.4700,350.5800,350.4600,350.5800
1787664677,350.4700,350.4700,350.2700,350.2700
1787664678,350.2600,350.3400,350.2600,350.3400
1787664679,350.3700,350.4700,350.3700,350.3750
1787664680,350.4200,350.4800,350.4200,350.4800
1787664681,350.4200,350.4700,350.4200,350.4700
1787664682,350.4800,350.4800,350.4800,350.4800
1787664683,350.4200,350.4300,350.4200,350.4300
1787664684,350.5500,350.9600,350.3700,350.3900
1787664685,350.4100,350.6300,350.3700,350.4500
1787664686,350.7200,350.7300,350.7200,350.7300
1787664687,350.6700,350.8100,350.6700,350.6800
1787664689,350.8250,350.8250,350.4500,350.4500
1787664691,350.5300,350.7000,350.5300,350.6500
1787664695,350.6700,350.6700,350.6700,350.6700
1787664696,350.6100,350.6100,350.4900,350.5000
1787664697,350.5500,350.5500,350.4400,350.4400
1787664698,350.4000,350.5000,350.3100,350.5000
1787664700,350.4400,350.4400,350.3500,350.3500
1787664701,350.3500,350.3500,350.3500,350.3500
1787664703,350.4900,350.4900,350.4400,350.4400
1787664704,350.4000,350.4000,350.4000,350.4000
1787664705,350.3500,350.3500,350.2600,350.2600
1787664707,350.2500,350.2500,349.7500,350.0300
1787664708,349.8300,350.1000,349.8300,350.0000
1787664709,350.0200,350.0200,349.9000,349.9000
1787664710,349.9300,349.9300,349.8300,349.8300
1787664711,349.8600,349.9000,349.8300,349.8300
1787664712,349.8600,349.9500,349.8600,349.9300
1787664713,349.9300,349.9600,349.8600,349.8800
1787664716,349.9000,349.9000,349.7000,349.7000
1787664717,349.6900,349.6900,349.6000,349.6200
1787664718,349.6950,349.9300,349.6300,349.9300
1787664719,349.9700,350.1100,349.9200,350.0900
1787664720,350.2300,350.2300,350.1500,350.1500
1787664721,349.9700,350.1700,349.9200,350.1200
1787664722,349.9900,349.9900,349.9600,349.9600
1787664723,349.9600,350.0000,349.6200,349.6500
1787664724,349.6600,349.8300,349.6200,349.6500
1787664726,349.7000,349.8000,349.7000,349.8000
1787664728,349.6900,349.8200,349.6900,349.8200
1787664729,349.8850,349.9300,349.8850,349.9300
1787664730,349.9900,349.9900,349.9900,349.9900
1787664731,350.2000,350.2600,349.8900,350.1600
1787664733,350.2000,350.2000,350.0600,350.0600
1787664734,350.0800,350.2050,350.0600,350.1100
1787664735,350.1400,350.4600,350.1400,350.4600
1787664736,350.5000,350.6600,350.4400,350.4400
1787664737,350.5700,350.5700,350.5700,350.5700
1787664738,350.4600,350.4600,350.4300,350.4300
1787664739,350.5000,350.5200,350.5000,350.5000
1787664740,350.6000,350.7000,350.6000,350.7000
1787664741,350.6800,350.7300,350.6200,350.7300
1787664742,350.7800,350.7800,350.7800,350.7800
1787664743,350.8900,350.9400,350.8900,350.9200
1787664744,350.9700,351.0000,350.8500,350.8500
1787664745,350.9100,350.9100,350.9100,350.9100
1787664748,350.8200,350.8200,350.5000,350.5000
1787664749,350.5900,350.5900,350.5900,350.5900
1787664750,350.5400,350.5500,350.4900,350.4900
1787664752,350.3200,350.3200,350.0100,350.0700
1787664753,350.1500,350.1500,350.1500,350.1500
1787664754,350.0600,350.0600,350.0600,350.0600
1787664755,350.0700,350.0700,349.9900,349.9900
1787664756,350.1100,350.3500,350.1100,350.3500
1787664757,350.5000,350.7150,350.5000,350.6300
1787664758,350.8100,350.8400,350.7400,350.7400
1787664759,350.7350,351.0700,350.6700,351.0400
1787664760,350.9700,350.9700,350.9100,350.9100
1787664761,350.8000,350.8000,350.6100,350.6100
1787664763,350.7500,350.7500,350.7500,350.7500
1787664765,350.8100,351.0100,350.8100,350.9700
1787664766,350.9950,350.9950,350.9950,350.9950
