entry_time,event_time,room,caller,symbol,contract,entry,event,reported_exit,reported_pct,profit_per_contract,calculated_pct,implied_exit,basis,raw
09:42:00,09:52:44,Honey Drip Network 🍯💰📈: ☀️｜daytrades-scalps,,NVDA,NVDA 220C 9/16 @ 3.06,3.06,partial trim,,12.0,,,3.4272000000000005,caller-stated,"HoneyDrip (Scribe): HoneyDrip (Scribe) ADMINS — 9:52 AM Friday, September 11, 2026 at 9:52 AM @Unraveller (Admin)🔮 trimming NVDA @ 12% @everyone"
09:50:39,09:53:40,OWLS Capital: 🌟｜muggzone-options,,HPE,HPE 62C 0DTE,,partial trim,,70.0,,,,caller-stated,"👑KingBeeAri🐝: [ 9:53 AM ] Friday, September 11, 2026 at 9:53 AM 70% HPE @everyone"
09:42:00,09:53:54,Honey Drip Network 🍯💰📈: ☀️｜daytrades-scalps,,NVDA,NVDA 220C 9/16 @ 3.06,3.06,partial trim,,16.0,,,3.5496,caller-stated,"HoneyDrip (Scribe): [ 9:53 AM ] Friday, September 11, 2026 at 9:53 AM @Unraveller (Admin)🔮 trimming NVDA @ 16% @everyone"
09:42:00,09:54:21,Honey Drip Network 🍯💰📈: ☀️｜daytrades-scalps,,NVDA,NVDA 220C 9/16 @ 3.06,3.06,partial trim,,18.0,,,3.6108,caller-stated,"HoneyDrip (Scribe): [ 9:54 AM ] Friday, September 11, 2026 at 9:54 AM @Unraveller (Admin)🔮 trimming NVDA @ 18% @everyone"
09:42:00,09:55:02,Honey Drip Network 🍯💰📈: ☀️｜daytrades-scalps,,NVDA,NVDA 220C 9/16 @ 3.06,3.06,partial trim,,25.0,,,3.825,caller-stated,"HoneyDrip (Scribe): [ 9:55 AM ] Friday, September 11, 2026 at 9:55 AM @Unraveller (Admin)🔮 trimming NVDA @ 25% @everyone"
09:42:00,09:55:29,OWLS Capital: 🌟｜muggzone-options,,DELL,DELL 560C @ 1.05,1.05,partial trim,,185.0,,,2.9925,caller-stated,"MuggZone: MuggZone [OWLS], Server Tag: OWLS OWLS Analyst — 9:55 AM Friday, September 11, 2026 at 9:55 AM still in 560 DELL calls. currently up 185% @here"
09:42:00,09:56:17,Honey Drip Network 🍯💰📈: ☀️｜daytrades-scalps,,NVDA,NVDA 220C 9/16 @ 3.06,3.06,partial trim,,32.0,,,4.0392,caller-stated,"HoneyDrip (Scribe): [ 9:56 AM ] Friday, September 11, 2026 at 9:56 AM @Unraveller (Admin)🔮 trimming NVDA @ 32% @everyone"
09:50:39,09:59:45,OWLS Capital: 🌟｜muggzone-options,,HPE,HPE 62C 0DTE,,partial trim,,92.0,,,,caller-stated,"👑KingBeeAri🐝: 👑KingBeeAri🐝 [DRIP], Server Tag: DRIP DRIP OWNER🤴🏾 — 9:59 AM Friday, September 11, 2026 at 9:59 AM 92% HPE @here"
09:42:00,10:00:11,Honey Drip Network 🍯💰📈: ☀️｜daytrades-scalps,,NVDA,NVDA 220C 9/16 @ 3.06,3.06,partial trim,,35.0,,,4.131,caller-stated,"HoneyDrip (Scribe): HoneyDrip (Scribe) ADMINS — 10:00 AM Friday, September 11, 2026 at 10:00 AM @Unraveller (Admin)🔮 trimming NVDA @ 35% @everyone"
10:00:14,10:04:40,OWLS Capital: 🌟｜muggzone-options,MuggZone,MU,MU 990C 0DTE @ 2.86,2.86,partial trim,2.4,,,-16.083916083916083,,caller-stated,"MuggZone: MuggZone [OWLS], Server Tag: OWLS OWLS Analyst — 10:04 AM Friday, September 11, 2026 at 10:04 AM out on most MU calls 2.4 @here"
09:42:00,10:05:11,Honey Drip Network 🍯💰📈: ☀️｜daytrades-scalps,,NVDA,NVDA 220C 9/16 @ 3.06,3.06,partial trim,,50.0,,,4.59,caller-stated,"HoneyDrip (Scribe): [ 10:05 AM ] Friday, September 11, 2026 at 10:05 AM @Unraveller (Admin)🔮 trimming NVDA @ 50% @everyone"
10:01:47,10:06:49,Platinum Trading: 👑│nitro,@Owner Alerts,NVDA,NVDA 220C @ 2.15,2.15,full exit,,,,,,caller exit; price unavailable,"@Owner Alerts: [ 10:06 AM ] Friday, September 11, 2026 at 10:06 AM @Owner Alerts Comment Closed NVDA there got a nice push but not enough for TP @nitro_trades Instagram , ,"
10:12:27,10:14:49,Honey Drip Network 🍯💰📈: ☀️｜daytrades-scalps,Unraveller,TSLA,TSLA 360P 9/16 @ 5.15,5.15,partial trim,,8.0,,,5.562000000000001,caller-stated,"HoneyDrip (Scribe): [ 10:14 AM ] Friday, September 11, 2026 at 10:14 AM @Unraveller (Admin)🔮 trimming TSLA @ 8% @everyone"
10:12:27,10:16:22,Honey Drip Network 🍯💰📈: ☀️｜daytrades-scalps,Unraveller,TSLA,TSLA 360P 9/16 @ 5.15,5.15,partial trim,,11.0,,,5.716500000000001,caller-stated,"HoneyDrip (Scribe): [ 10:16 AM ] Friday, September 11, 2026 at 10:16 AM @Unraveller (Admin)🔮 trimming TSLA @ 11% @everyone"
10:12:27,10:17:18,Honey Drip Network 🍯💰📈: ☀️｜daytrades-scalps,Unraveller,TSLA,TSLA 360P 9/16 @ 5.15,5.15,partial trim,,18.0,,,6.077,caller-stated,"HoneyDrip (Scribe): [ 10:17 AM ] Friday, September 11, 2026 at 10:17 AM @Unraveller (Admin)🔮 trimming TSLA @ 18% @everyone"
10:12:27,10:25:31,Honey Drip Network 🍯💰📈: ☀️｜daytrades-scalps,Unraveller,TSLA,TSLA 360P 9/16 @ 5.15,5.15,partial trim,,20.0,,,6.180000000000001,caller-stated,"HoneyDrip (Scribe): HoneyDrip (Scribe) ADMINS — 10:25 AM Friday, September 11, 2026 at 10:25 AM @Unraveller (Admin)🔮 trimming TSLA @ 20% @everyone"
10:25:31,10:27:37,Platinum Trading: 👑│nitro,Nitro Trades,TSLA,TSLA 362.5P @ 1.79,1.79,full exit,1.24,,,-30.726256983240223,,market bid at caller exit,"@Owner Alerts: [ 10:27 AM ] Friday, September 11, 2026 at 10:27 AM @Owner Alerts Comment Closed TSLA there couldnt clear the lows @nitro_trades Instagram , ,"
10:23:13,10:27:43,Low Key Stonks: 😈demon-day-trades,Demon × LKS,AAPL,AAPL 335C 9/11 @ 0.65,0.65,partial trim,1.05,61.0,,61.53846153846154,,caller-stated,"Demon × LKS: [ 10:27 AM ] Friday, September 11, 2026 at 10:27 AM $AAPL @01.05 from 0.65 | +61% BANGGGGG @Demon Alerts"
10:12:27,10:29:45,Honey Drip Network 🍯💰📈: ☀️｜daytrades-scalps,Unraveller,TSLA,TSLA 360P 9/16 @ 5.15,5.15,full exit,,,,,,caller exit; price unavailable,"HoneyDrip (Scribe): [ 10:29 AM ] Friday, September 11, 2026 at 10:29 AM @Unraveller (Admin)🔮 all out of TSLA @everyone"
09:42:00,10:35:33,Honey Drip Network 🍯💰📈: ☀️｜daytrades-scalps,,NVDA,NVDA 220C 9/16 @ 3.06,3.06,full exit,,,,,,caller exit; price unavailable,"HoneyDrip (Scribe): HoneyDrip (Scribe) ADMINS — 10:35 AM Friday, September 11, 2026 at 10:35 AM @Unraveller (Admin)🔮 all out of NVDA @everyone"
10:37:42,10:40:35,Platinum Trading: 👑│nitro,@Owner Alerts,NVDA,NVDA 220C @ 0.97,0.97,full exit,0.98,,,1.0309278350515474,,market bid at caller exit,"@Owner Alerts: [ 10:40 AM ] Friday, September 11, 2026 at 10:40 AM @Owner Alerts Comment Closed NVDA thats all for today, no follow through across the board @nitro_trades Instagram , ,"
10:39:56,10:49:02,Honey Drip Network 🍯💰📈: ☀️｜daytrades-scalps,Mike,AMZN,AMZN 255C 9/14 @ 2.05,2.05,full exit,,,,,,caller exit; price unavailable,"HoneyDrip (Scribe): HoneyDrip (Scribe) ADMINS — 10:49 AM Friday, September 11, 2026 at 10:49 AM @Mike (Admin) all out of AMZN @everyone"
10:50:04,11:03:21,Honey Drip Network 🍯💰📈: ☀️｜daytrades-scalps,Brett,HOOD,HOOD 118C 9/18 @ 2.50,2.5,partial trim,,10.0,,,2.75,caller-stated,"HoneyDrip (Scribe): HoneyDrip (Scribe) ADMINS — 11:03 AM Friday, September 11, 2026 at 11:03 AM @Brett (Admin) trimming HOOD @ 10% @everyone"
10:54:00,11:12:46,Honey Drip Network 🍯💰📈: 🇳🇬｜midas-small-account-challenge,,AAPL,AAPL 335C 0DTE @ 1.46,1.46,partial trim,,22.0,,,1.7812,caller-stated,"Midas (Admin): [ 11:12 AM ] Friday, September 11, 2026 at 11:12 AM 22% @here on $aapl"
11:13:20,11:13:36,Honey Drip Network 🍯💰📈: 👑｜aristotle-trades,,MU,MU 980C 0DTE @ 3.00,3.0,partial trim,,40.0,,,4.199999999999999,caller-stated,"👑KingBeeAri🐝: [ 11:13 AM ] Friday, September 11, 2026 at 11:13 AM Did 40% on that pop"
10:35:00,11:28:10,OWLS Capital: 🌟｜shabs-sky-alerts,,SPX,SPX 7700C @ 1.05,1.05,partial trim,,,500.0,476.19047619047615,6.05,caller-stated,"shabs🇨🇦 (μ): [ 11:28 AM ] Friday, September 11, 2026 at 11:28 AM 500/con left 1 runner for valhalla cause I gotta run, thanks for the vote of 0 confidence @here, see ya SPX 7700cs are also green please just take the L and move on from the 2 plays both green I shared"
12:01:49,12:31:05,Honey Drip Network 🍯💰📈: ☀️｜daytrades-scalps,Brett (Admin),HOOD,HOOD 118C,,full exit,,-6.0,,,,caller-stated,"Brett (Admin): Brett (Admin) ADMINS — 12:31 PM Friday, September 11, 2026 at 12:31 PM I'm stopping out at -6% @here Getting an aneurysm"
15:40:12,15:46:18,TradingTheTrend: 🚨option-alerts🚨,TradingTheTrend,QQQ,QQQ 716C 9/11 @ 0.15,0.15,partial trim,0.24,,,60.0,,caller-stated,"TradingTheTrend: [ 3:46 PM ] Friday, September 11, 2026 at 3:46 PM STC QQQ 9/11 716c @ .24 taking first trim here PARTIAL"
15:22:16,15:59:59,Low Key Stonks: 😈demon-day-trades,Demon × LKS,IBM,IBM 250C 9/18 @ 1.70,1.7,partial trim,2.2,30.0,,29.411764705882366,,caller-stated,"Demon × LKS: Demon × LKS APP — 3:59 PM Friday, September 11, 2026 at 3:59 PM $IBM @2.20 from 1.70 | +30% Trimming & swinging @Demon Alerts"
