entry_time,event_time,room,caller,symbol,contract,entry,event,reported_exit,reported_pct,profit_per_contract,calculated_pct,implied_exit,trim_size,basis,raw
10:22:17,10:24:27,Platinum Trading: 👑│nitro,@Owner Alerts,TSLA,TSLA 357.5P @ 1.61,1.61,partial trim,,15.0,,,1.8515,,caller-stated,"@Owner Alerts: [ 10:24 AM ] Monday, September 14, 2026 at 10:24 AM @Owner Alerts Comment TSLA beautiful rejection +15% need a bit more to scale @nitro_trades Instagram , ,"
10:22:17,10:24:40,Platinum Trading: 👑│nitro,@Owner Alerts,TSLA,TSLA 357.5P @ 1.61,1.61,partial trim,,,,,,0.5,caller trim; price unavailable,"@Owner Alerts: [ 10:24 AM ] Monday, September 14, 2026 at 10:24 AM @Owner Alerts Comment Took out half here on TSLA, SL to b/e @nitro_trades Instagram , ,"
10:22:17,10:27:18,Platinum Trading: 👑│nitro,@Owner Alerts,TSLA,TSLA 357.5P @ 1.61,1.61,partial trim,,36.0,,,2.1896,,caller-stated,"Nitro Trades: Nitro Trades Traders APP — 10:27 AM Monday, September 14, 2026 at 10:27 AM @Owner Alerts Comment LOCKED IN MAJORITY PROFIT HERE ON TSLA +36% @nitro_trades Instagram , ,"
10:13:15,10:28:03,OWLS Capital: 🌟｜muggzone-options,MuggZone,CRWD,CRWD 245C 9/18 @ 2.35,2.35,partial trim,,72.0,,,4.042,,caller-stated,"👑KingBeeAri🐝: 👑KingBeeAri🐝 [DRIP], Server Tag: DRIP DRIP OWNER🤴🏾 — 10:28 AM Monday, September 14, 2026 at 10:28 AM 72% CRWD @here"
10:13:15,10:33:43,OWLS Capital: 🌟｜muggzone-options,MuggZone,CRWD,CRWD 245C 9/18 @ 2.35,2.35,partial trim,,,,,,0.25,caller trim; price unavailable,"MuggZone: MuggZone [OWLS], Server Tag: OWLS OWLS ok CRWD 9/18 245 calls 2.35 sl 1.70 tp 2.85 / 3.5 / 4.6 @everyone MuggZone [OWLS], Server Tag: OWLS OWLS Analyst — 10:33 AM Monday, September 14, 2026 at 10:33 AM 1st. TP hit on CRWD calls sold 1/4 @here"
10:31:16,10:38:07,Whop Day Trades,Trademorewiser (MOD),MNQ,MNQ @ 29000.00,29000.0,partial trim,,,,,,,caller trim; price unavailable,Trademorewiser (MOD): Trimmed 35 points $700 a contract
10:36:45,10:42:17,Platinum Trading: 🟣│futures-alerts,@Futures Alerts,MNQ,MNQ @ 28977.50,28977.5,full exit,,,,,,,caller exit; price unavailable,"@Futures Alerts: [ 10:42 AM ] Monday, September 14, 2026 at 10:42 AM @Futures Alerts MNQ good rejection so far, will also try scaling out of my position wanna test out rr for it over a week or two"
10:13:15,10:50:22,OWLS Capital: 🌟｜muggzone-options,MuggZone,CRWD,CRWD 245C 9/18 @ 2.35,2.35,partial trim,,35.0,,,3.1725000000000003,,caller-stated,"MuggZone: MuggZone [OWLS], Server Tag: OWLS OWLS ok CRWD 9/18 245 calls 2.35 sl 1.70 tp 2.85 / 3.5 / 4.6 @everyone MuggZone [OWLS], Server Tag: OWLS OWLS Analyst — 10:50 AM Monday, September 14, 2026 at 10:50 AM CRWD calls up 35%"
10:13:15,10:51:47,OWLS Capital: 🌟｜muggzone-options,MuggZone,CRWD,CRWD 245C 9/18 @ 2.35,2.35,partial trim,,94.0,,,4.559,,caller-stated,"👑KingBeeAri🐝: 👑KingBeeAri🐝 [DRIP], Server Tag: DRIP DRIP OWNER🤴🏾 — 10:51 AM Monday, September 14, 2026 at 10:51 AM 94% CRWD @here"
10:13:15,10:58:28,OWLS Capital: 🌟｜muggzone-options,MuggZone,CRWD,CRWD 245C 9/18 @ 2.35,2.35,partial trim,3.6,,,53.191489361702125,,0.25,market bid at caller exit,"MuggZone: MuggZone [OWLS], Server Tag: OWLS OWLS ok CRWD 9/18 245 calls 2.35 sl 1.70 tp 2.85 / 3.5 / 4.6 @everyone MuggZone [OWLS], Server Tag: OWLS OWLS Analyst — 10:58 AM Monday, September 14, 2026 at 10:58 AM 2nd TP hit on CRWD calls sold anoter 1/4 @@everyone now 3.7"
10:36:45,11:06:18,Platinum Trading: 🟣│futures-alerts,@Futures Alerts,MNQ,MNQ @ 28977.50,28977.5,full exit,,,,,,,caller exit; price unavailable,"PT | Nitro Trades: PT | Nitro Trades [PLAT], Server Tag: PLAT PLAT CEO — 11:06 AM Monday, September 14, 2026 at 11:06 AM @Futures Alerts MNQ news drop just wicked us out, told u guys on call expected that lol had a feeling"
10:13:15,11:07:00,OWLS Capital: 🌟｜muggzone-options,MuggZone,CRWD,CRWD 245C 9/18 @ 2.35,2.35,partial trim,,100.0,,,4.7,,caller-stated,"MuggZone: MuggZone [OWLS], Server Tag: OWLS OWLS ok CRWD 9/18 245 calls 2.35 sl 1.70 tp 2.85 / 3.5 / 4.6 @everyone MuggZone [OWLS], Server Tag: OWLS OWLS Analyst — 11:07 AM Monday, September 14, 2026 at 11:07 AM 3rd TP hit for 100% on CRWD CALLS @everyone"
11:12:31,11:25:50,OWLS Capital: 🛎️｜all-alerts,MuggZone,MSFT,MSFT 505C @ 0.85,0.85,partial trim,,25.0,,,1.0625,0.25,caller-stated,"MuggZone: MuggZone [OWLS], Server Tag: OWLS OWLS Analyst — 11:25 AM Monday, September 14, 2026 at 11:25 AM selling 1/4 for 25% on MSFT calls 1.10 @here"
11:24:18,11:28:53,Honey Drip Network 🍯💰📈: ☀️｜daytrades-scalps,Unraveller,META,META 670C 9/18 @ 6.50,6.5,partial trim,,6.5,,,6.922499999999999,,caller-stated,"HoneyDrip (Scribe): HoneyDrip (Scribe) ADMINS — 11:28 AM Monday, September 14, 2026 at 11:28 AM @Unraveller (Admin)🔮 trimming META @ 6.5% @everyone (edited) Monday, September 14, 2026 at 11:28 AM"
11:24:18,11:29:23,Honey Drip Network 🍯💰📈: ☀️｜daytrades-scalps,Unraveller,META,META 670C 9/18 @ 6.50,6.5,full exit,,,,,,,caller exit; price unavailable,"HoneyDrip (Scribe): [ 11:29 AM ] Monday, September 14, 2026 at 11:29 AM @Unraveller (Admin)🔮 all out of META @everyone"
11:28:00,11:36:04,Honey Drip Network 🍯💰📈: 🇳🇬｜midas-small-account-challenge,Midas (Admin),SPY,SPY 760P 9/14 @ 760.40,,partial trim,,21.0,,,,,"caller posted a stock price, not a premium — entry unavailable","Midas (Admin): [ 11:36 AM ] Monday, September 14, 2026 at 11:36 AM At 21%"
11:12:31,11:38:45,OWLS Capital: 🛎️｜all-alerts,MuggZone,MSFT,MSFT 505C @ 0.85,0.85,partial trim,,100.0,,,1.7,,caller-stated,"MuggZone: MuggZone [OWLS], Server Tag: OWLS OWLS RISKY MSFT 505 CALLS .85 @everyone MuggZone [OWLS], Server Tag: OWLS OWLS Analyst — 11:38 AM Monday, September 14, 2026 at 11:38 AM BANG 100% ON MSFT CALLS @here"
10:42:14,11:38:57,OWLS Capital: 🌟｜muggzone-options,MuggZone,MU,MU 850P 9/16 @ 2.10,2.1,partial trim,,,,,,,caller trim; price unavailable,"MuggZone: [ 11:38 AM ] Monday, September 14, 2026 at 11:38 AM only a runner left"
11:21:01,11:48:26,OWLS Capital: 🌟｜shabs-sky-alerts,Skyy,QQQ,QQQ 708C @ 0.75,0.75,partial trim,,,,,,,caller trim; price unavailable,"shabs🇨🇦 (μ): [ 11:48 AM ] Monday, September 14, 2026 at 11:48 AM 1 runner left goodbye @here"
11:12:31,11:48:27,OWLS Capital: 🛎️｜all-alerts,MuggZone,MSFT,MSFT 505C @ 0.85,0.85,partial trim,,,,,,,caller trim; price unavailable,@Updates: From ⁠🌟｜shabs-sky-alerts @Updates shabs🇨🇦 (μ) shabs🇨🇦 (μ) Message: 1 runner left goodbye @here Owls Investment Group LLC. Informational purposes only. Not financial advice. Bot Version 6.7 -- Released 06.24.2026 09/14/26 ● 11:48:27 AM Owls Investment Group LLC. Informational purposes only. Not financial advice. Bot Version 6.7 -- Released 06.24.2026 09/14/26 ● 11:48:27 AM
11:21:01,12:16:49,OWLS Capital: 🌟｜shabs-sky-alerts,Skyy,QQQ,QQQ 708C @ 0.75,0.75,partial trim,,100.0,,,1.5,,caller-stated,"Skyy: [ 12:16 PM ] Monday, September 14, 2026 at 12:16 PM 325-650 100% easy peasy"
10:23:15,12:17:17,Whop Day Trades,Trademorewiser (MOD),NVDA,NVDA 210P 9/16 @ 2.40,2.4,full exit,1.5,,,-37.5,,,market bid at caller exit,Trademorewiser (MOD): Stopped on NVDA
10:11:45,12:25:13,ELITE OPTIONS: brando-alerts,,QQQ,QQQ 710C 9/16 @ 3.45,3.45,partial trim,4.8,,,39.13043478260868,,0.5,caller-stated,"EliteOptions | Brando: EliteOptions | Brando APP — 12:25 PM Monday, September 14, 2026 at 12:25 PM @Elite SOLD | QQQ SEPT 16 710C $4.80 1/2 POSITION"
11:28:00,12:47:57,Honey Drip Network 🍯💰📈: 🇳🇬｜midas-small-account-challenge,Midas (Admin),SPY,SPY 760P 9/14 @ 760.40,,partial trim,,50.0,,,,,"caller posted a stock price, not a premium — entry unavailable","Midas (Admin): Midas (Admin) ADMINS — 12:47 PM Monday, September 14, 2026 at 12:47 PM Bagged 50% on it @here"
10:11:45,12:49:40,ELITE OPTIONS: brando-alerts,,QQQ,QQQ 710C 9/16 @ 3.45,3.45,partial trim,5.5,,,59.42028985507245,,0.25,caller-stated,"EliteOptions | Brando: EliteOptions | Brando APP — 12:49 PM Monday, September 14, 2026 at 12:49 PM @Elite SOLD | QQQ SEPT 16 710C $5.50 1/4 POS"
11:21:01,13:14:20,OWLS Capital: 🌟｜shabs-sky-alerts,Skyy,QQQ,QQQ 708C @ 0.75,0.75,full exit,3.92,,,422.66666666666663,,,market bid at caller exit,"Skyy: Skyy Back in 7640s at 325 Skyy Analyst — 1:14 PM Monday, September 14, 2026 at 1:14 PM Exited fully at 1250"
11:24:18,13:19:04,Honey Drip Network 🍯💰📈: ☀️｜daytrades-scalps,Unraveller,META,META 670C 9/18 @ 6.50,6.5,partial trim,,,,,,,caller trim; price unavailable,"Brett (Admin): Brett (Admin) I'm in this trade, it's already triggering. Just use stops at $763. @here Brett (Admin) ADMINS — 1:19 PM Monday, September 14, 2026 at 1:19 PM Trimmed some. In zeroes and 1 days. .50 cent move"
12:26:44,13:56:35,OWLS Capital: 🛎️｜all-alerts,TT,GOOGL,GOOGL 360C 10/16 @ 7.20,7.2,partial trim,,26.0,,,9.072000000000001,,caller-stated,@Updates: From ⁠🌟｜ab @Updates AbTrades Alert Bot AbTrades Alert Bot Message: $GOOGL P03 now complete our 11/20 370c up 63% and our 10/16s are down 26% Lets see!!! @Owls Owls Investment Group LLC. Informational purposes only. Not financial advice. Bot Version 6.7 -- Released 06.24.2026 09/14/26 ● 01:56:34 PM Owls Investment Group LLC. Informational purposes only. Not financial advice. Bot Version 6.7 -- Released 06.24.2026 09/14/26 ● 01:56:34 PM
14:05:00,14:10:44,Honey Drip Network 🍯💰📈: 👑｜aristotle-trades,👑KingBeeAri🐝,META,META 700C 9/18,,partial trim,,43.0,,,,,caller-stated,"👑KingBeeAri🐝: [ 2:10 PM ] Monday, September 14, 2026 at 2:10 PM 43% @here"
14:20:25,15:14:52,OWLS Capital: 🌟｜muggzone-options,MuggZone,TSLA,TSLA 360P 0DTE,,partial trim,,145.0,,,,,caller-stated,"MuggZone: MuggZone [OWLS], Server Tag: OWLS OWLS if you want a. hero or zero lotto TSLA 0dte 360puts entry .35-.40@everyone MuggZone [OWLS], Server Tag: OWLS OWLS Analyst — 3:14 PM Monday, September 14, 2026 at 3:14 PM theres 145% on tsla lotto puts @here"
