date,entry_time,event_time,room,caller,symbol,contract,entry,event,reported_exit,reported_pct,profit_per_contract,calculated_pct,implied_exit,trim_size,basis,raw
2026-08-19,09:37:01,09:37:25,Honey Drip Network 🍯💰📈: ☀️｜daytrades-scalps,Unraveller,GOOGL,GOOGL 345C 8/21 @ 3.40,3.4,partial trim,,,,,,,caller trim; price unavailable,"HoneyDrip (Scribe): [ 9:37 AM ] Wednesday, August 19, 2026 at 9:37 AM @Unraveller (Admin)🔮 trimming GOOGL @everyone"
2026-08-19,09:37:01,09:38:05,Honey Drip Network 🍯💰📈: ☀️｜daytrades-scalps,Unraveller,GOOGL,GOOGL 345C 8/21 @ 3.40,3.4,partial trim,,18.0,,,4.012,,caller-stated,"HoneyDrip (Scribe): [ 9:38 AM ] Wednesday, August 19, 2026 at 9:38 AM @Unraveller (Admin)🔮 trimming GOOGL @ 18% @everyone"
2026-08-19,09:37:01,09:42:15,Honey Drip Network 🍯💰📈: ☀️｜daytrades-scalps,Unraveller,GOOGL,GOOGL 345C 8/21 @ 3.40,3.4,full exit,,,,,,,caller exit; price unavailable,"HoneyDrip (Scribe): HoneyDrip (Scribe) ADMINS — 9:42 AM Wednesday, August 19, 2026 at 9:42 AM @Unraveller (Admin)🔮 all out of GOOGL @everyone"
2026-08-19,09:43:22,09:46:33,Honey Drip Network 🍯💰📈: ☀️｜daytrades-scalps,Unraveller,GOOGL,GOOGL 345C 8/21 @ 3.45,3.45,full exit,,,,,,,caller exit; price unavailable,"HoneyDrip (Scribe): [ 9:46 AM ] Wednesday, August 19, 2026 at 9:46 AM @Unraveller (Admin)🔮 all out of GOOGL @everyone"
2026-08-19,09:41:03,09:46:57,Summit Trading Strategies: 📌｜alert-room,TradeLikeGates,AAPL,AAPL 312.5C 8/19/26 @ 1.03,1.03,partial trim,,,,,,,caller trim; price unavailable,"TradeLikeGates: [ 9:46 AM ] Wednesday, August 19, 2026 at 9:46 AM @here Took profit"
2026-08-19,09:41:46,09:48:27,VeroTrade: ✅⏐vero-trades,Vero,QQQ,QQQ 716P 8/19 @ 1.42,1.42,partial trim,,,,,,0.5,caller trim; price unavailable,"@vero-alerts: [ 9:48 AM ] Wednesday, August 19, 2026 at 9:48 AM QQQ TRIM 1/2 @ 1.88 SL @ KEY LEVEL @vero-alerts"
2026-08-19,09:48:49,09:49:15,Honey Drip Network 🍯💰📈: ☀️｜daytrades-scalps,Mike,SPY,SPY 770P 8/20,,partial trim,,22.0,,,,,caller-stated,"HoneyDrip (Scribe): [ 9:49 AM ] Wednesday, August 19, 2026 at 9:49 AM @Mike (Admin) trimming SPY @ 22% @everyone"
2026-08-19,09:48:49,09:49:25,Honey Drip Network 🍯💰📈: ☀️｜daytrades-scalps,Mike,SPY,SPY 770P 8/20,,partial trim,,27.0,,,,,caller-stated,"HoneyDrip (Scribe): HoneyDrip (Scribe) ADMINS — 9:49 AM Wednesday, August 19, 2026 at 9:49 AM @Mike (Admin) trimming SPY @ 27% @everyone"
2026-08-19,09:41:46,09:49:41,VeroTrade: ✅⏐vero-trades,Vero,QQQ,QQQ 716P 8/19 @ 1.42,1.42,partial trim,2.72,,,91.54929577464792,,,caller-stated,"Vero: Vero [PAID], Server Tag: PAID PAID QQQ 716P 8/19 1.42 2 CONS @vero-alerts Vero [PAID], Server Tag: PAID PAID Owner — 8/19/26, 9:49 AM Wednesday, August 19, 2026 at 9:49 AM QQQ OUT @ 2.72 Left a runner @Premium @Prodigy"
2026-08-19,09:48:49,09:50:29,Honey Drip Network 🍯💰📈: ☀️｜daytrades-scalps,Mike,SPY,SPY 770P 8/20,,partial trim,,30.0,,,,,caller-stated,"Mike (Admin): Mike (Admin) ADMINS — 9:50 AM Wednesday, August 19, 2026 at 9:50 AM 30%+ trade @here"
