date,time,channel_id,room,caller,symbol,side,strike,expiry,their_price,action,kind,source_file,line,text
2025-09-18,09:40:00,911389167169191946,Platinum nitro,Nitro Trades,TSLA,PUTS,407.5,,2.01,OPEN,option,grab 911389167169191946 Platinum-nitro 2026-09-19.txt,8,"@Owner Alerts Entry Contract: TSLA $407.5p Price: $2.01 Comments:Starter only @nitro_trades Instagram , , [image]"
2025-09-18,09:46:00,911389167169191946,Platinum nitro,@Owner Alerts,AAPL,PUTS,237.5,,1.44,OPEN,option,grab 911389167169191946 Platinum-nitro 2026-09-19.txt,14,"@Owner Alerts Entry Contract: AAPL $237.5p Price: $1.44 Comments:Starter only @nitro_trades Instagram , , [image]"
2025-09-18,10:04:00,1323708708374450247,Vero 1,Vero,SPY,CALLS,663,9/18,1.07,OPEN,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,8,SPY 663C 9/18 1.07 2 CONTRACTS @vero-alerts
2025-09-18,10:29:00,911389167169191946,Platinum nitro,@Owner Alerts,NVDA,CALLS,177.5,,1.04,OPEN,option,grab 911389167169191946 Platinum-nitro 2026-09-19.txt,20,"@Owner Alerts Entry Contract: NVDA $177.5c Price: $1.04 Comments:Starter only @nitro_trades Instagram , , [image]"
2025-09-19,09:43:00,1323708708374450247,Vero 1,Vero,SPY,PUTS,662,9/19,1.33,OPEN,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,12,SPY 662P 9/19 1.33 2 CONTRACTS @vero-alerts
2025-09-19,09:52:00,911389167169191946,Platinum nitro,@Owner Alerts,PLTR,CALLS,182.5,,1.1,OPEN,option,grab 911389167169191946 Platinum-nitro 2026-09-19.txt,32,"@Owner Alerts Entry Contract: PLTR $182.5c Price: $1.10 Comments:RISKY starter only @nitro_trades Instagram , , [image]"
2025-09-19,09:55:00,1323708708374450247,Vero 1,@vero-alerts,QQQ,CALLS,599,9/19,0.72,OPEN,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,15,QQQ 599C 9/19 0.72 4 CONTRACT3 @vero-alerts
2025-09-19,10:09:00,911389167169191946,Platinum nitro,@Owner Alerts,NVDA,CALLS,177.5,,0.81,OPEN,option,grab 911389167169191946 Platinum-nitro 2026-09-19.txt,38,"@Owner Alerts Entry Contract: NVDA $177.5c Price: .81 Comments:RISKY starter only @nitro_trades Instagram , , [image]"
2025-09-19,10:10:00,1323708708374450247,Vero 1,Vero,SPY,PUTS,662,9/19,0.95,OPEN,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,16,"SPY 662P 9/19 0.95 3 CONTRACTS SWITCHING SIDES @vero-alerts (edited) Friday, September 19, 2025 at 10:11 AM"
2025-09-19,10:24:00,911389167169191946,Platinum nitro,Nitro Trades,PLTR,CALLS,182.5,,0.79,OPEN,option,grab 911389167169191946 Platinum-nitro 2026-09-19.txt,43,"@Owner Alerts Entry Contract: PLTR $182.5c Price: .79 Comments:HIGH RISK Starter only @nitro_trades Instagram , , [image]"
2025-09-22,09:37:00,1323708708374450247,Vero 1,Vero,QQQ,CALLS,598,9/22,1.4,OPEN,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,22,QQQ 598C 9/22 1.40 2 CONTRACTS @vero-alerts
2025-09-22,09:59:00,911389167169191946,Platinum nitro,@Owner Alerts,SPY,CALLS,664,,0.48,OPEN,option,grab 911389167169191946 Platinum-nitro 2026-09-19.txt,51,"@Owner Alerts Entry Contract: SPY $664c Price: .48 Comments:Starter only @nitro_trades Instagram , , [image]"
2025-09-22,10:30:00,911389167169191946,Platinum nitro,@Owner Alerts,SPY,CALLS,664,,0.72,OPEN,option,grab 911389167169191946 Platinum-nitro 2026-09-19.txt,58,"@Owner Alerts Entry Contract: SPY $664c Price: .72 Comments:HIGH RISK Starter only @nitro_trades Instagram , , [image]"
2025-09-22,13:34:00,760694103401955378,Vero 2,Vero,QQQ,PUTS,603,9/22,1.33,OPEN,option,grab 760694103401955378 Vero-2 2026-09-19.txt,10,QQQ 603P 9/22 1.33 @vero-alerts
2025-09-22,14:03:00,760694103401955378,Vero 2,Vero,QQQ,PUTS,603,9/22,1.2,OPEN,option,grab 760694103401955378 Vero-2 2026-09-19.txt,12,QQQ 603P 9/22 1.20 @vero-alerts
2025-09-23,09:46:00,911389167169191946,Platinum nitro,@Owner Alerts,AMZN,PUTS,220,,1.45,OPEN,option,grab 911389167169191946 Platinum-nitro 2026-09-19.txt,73,"@Owner Alerts Entry Contract: AMZN $220p Price: $1.45 Comments:Starter only @nitro_trades Instagram , , [image]"
2025-09-23,09:47:00,1323708708374450247,Vero 1,Vero,QQQ,PUTS,601,9/23,1,OPEN,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,28,QQQ 601P 9/23 1.00 2 CONTRACTS @vero-alerts
2025-09-23,10:12:00,1323708708374450247,Vero 1,@vero-alerts,QQQ,PUTS,601,9/23,1,OPEN,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,33,QQQ 601P 9/23 1.00 2 CONTRACTS @vero-alerts
2025-09-24,09:37:00,1323708708374450247,Vero 1,Vero,IWM,CALLS,244,9/24,1,OPEN,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,41,IWM 244C 9/24 1.00 2 CONTRACTS @vero-alerts
2025-09-24,09:45:00,911389167169191946,Platinum nitro,Nitro Trades,AAPL,PUTS,250,,1.06,OPEN,option,grab 911389167169191946 Platinum-nitro 2026-09-19.txt,85,"@Owner Alerts Entry Contract: AAPL $250p Price: $1.06 Comments:Starter only @nitro_trades Instagram , , [image]"
2025-09-24,09:53:00,911389167169191946,Platinum nitro,Nitro Trades,PLTR,PUTS,175,,1.42,OPEN,option,grab 911389167169191946 Platinum-nitro 2026-09-19.txt,92,"@Owner Alerts Entry Contract: PLTR $175p Price: $1.42 Comments:RISKY Starter only @nitro_trades Instagram , , [image]"
2025-09-24,10:01:00,1323708708374450247,Vero 1,Vero,SPY,PUTS,663,9/24,1.18,OPEN,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,44,SPY 663P 9/24 1.18 2 CONTRACTS @vero-alerts
2025-09-24,10:12:00,911389167169191946,Platinum nitro,Nitro Trades,PLTR,PUTS,175,,1.16,OPEN,option,grab 911389167169191946 Platinum-nitro 2026-09-19.txt,97,"@Owner Alerts Entry Contract: PLTR $175p Price: $1.16 Comments:RISKY starter only @nitro_trades Instagram , , [image]"
2025-09-24,10:35:00,911389167169191946,Platinum nitro,Nitro Trades,TSLA,CALLS,462.5,,1.78,OPEN,option,grab 911389167169191946 Platinum-nitro 2026-09-19.txt,102,"@Owner Alerts Entry Contract: TSLA $462.5c Price: $1.78 Comments:Starter only @nitro_trades Instagram , , [image]"
2025-09-24,12:15:00,1144369893760831489,Midas,👑KingBeeAri🐝,TSLA,CALLS,450,9/26,,OPEN,option,grab 1144369893760831489 Midas 2026-09-19.txt,24,2 cons TSLA 450 C 9/26 @everyone
2025-09-24,12:34:00,760694103401955378,Vero 2,Vero,QQQ,PUTS,595,9/24,1.19,OPEN,option,grab 760694103401955378 Vero-2 2026-09-19.txt,14,QQQ 595P 9/24 1.19 @vero-alerts
2025-09-24,14:10:00,760694103401955378,Vero 2,Vero,QQQ,PUTS,595,9/24,0.67,OPEN,option,grab 760694103401955378 Vero-2 2026-09-19.txt,17,QQQ 595P 9/24 0.67 @vero-alerts
