date,time,room,caller,symbol,side,strike,expiry,dte,their_price,qty,outcome,reason,detail,our_fill,slip_abs,slip_pct,posted_at,seen_at,sent_at,filled_at,read_ms,decide_ms,fill_ms,total_ms,bid,ask,spread_pct,delta,iv,live,coid,ledger_key,in_ledger,source,raw,caller_strike,caller_expiry,our_limit,tier,confidence,how_recovered,source_line
2026-08-04,15:20,ZT opt-5,EvaPanda Alerts,NFLX,CALLS,75,2026-08-07,,0.61,,OTHER refusal,OTHER refusal,NFLX,,,,,,,,,,,,,,,,,,,,False,trades.log,"REFUSED  OPEN NFLX (EvaPanda Alerts's call) 75C 08/07/2026 x5 @ 0.61  ->  couldn't get a quote for NFLX260807C00075000 right now. Nothing was sent. (option_market_data.get_option_snapshot: HTTP Status: 403, Code: MARKET_DATA_NOT_SUBSCRIBED, Msg: Insufficient permission)",,,,A,high,the REFUSED line in trades.log,"REFUSED  OPEN NFLX (EvaPanda Alerts's call) 75C 08/07/2026 x5 @ 0.61  ->  couldn't get a quote for NFLX260807C00075000 right now. Nothing was sent. (option_market_data.get_option_snapshot: HTTP Status: 403, Code: MARKET_DATA_NOT_SUBSCRIBED, Msg: Insufficient permission)"
2026-08-04,15:32,,Bullwinkle,NVDA,CALLS,217.5,2026-08-07,,3.60,,OTHER refusal,OTHER refusal,NVDA,,,,,,,,,,,,,,,,,,,,False,trades.log,"REFUSED  OPEN NVDA (Bullwinkle's call) 217.5C 2026-08-07 x5 @ 3.60  ->  couldn't make sense of the expiry ""2026-08-07"". Nothing was sent.",,,,A,high,the REFUSED line in trades.log,"REFUSED  OPEN NVDA (Bullwinkle's call) 217.5C 2026-08-07 x5 @ 3.60  ->  couldn't make sense of the expiry ""2026-08-07"". Nothing was sent."
2026-08-05,09:30,Honeydrip daytrades,Unraveller,TSLA,PUTS,320,2026-08-06,,4.60,,OTHER refusal,OTHER refusal,TSLA,,,,,,,,,,,,,,,,,,,,False,trades.log,"REFUSED  OPEN TSLA (Unraveller's call) 320P 8/6 x5 @ 4.60  ->  couldn't get a quote for TSLA260806P00320000 right now. Nothing was sent. (option_market_data.get_option_snapshot: HTTP Status: 403, Code: MARKET_DATA_NOT_SUBSCRIBED, Msg: Insufficient permission)",,,,A,high,the REFUSED line in trades.log,"REFUSED  OPEN TSLA (Unraveller's call) 320P 8/6 x5 @ 4.60  ->  couldn't get a quote for TSLA260806P00320000 right now. Nothing was sent. (option_market_data.get_option_snapshot: HTTP Status: 403, Code: MARKET_DATA_NOT_SUBSCRIBED, Msg: Insufficient permission)"
2026-08-05,09:38,Honeydrip daytrades,Mike,PLTR,CALLS,170,2026-08-07,,2.44,,OTHER refusal,OTHER refusal,PLTR,,,,,,,,,,,,,,,,,,,,False,trades.log,"REFUSED  OPEN PLTR (Mike's call) 170C 8/7 x5 @ 2.44  ->  couldn't get a quote for PLTR260807C00170000 right now. Nothing was sent. (option_market_data.get_option_snapshot: HTTP Status: 403, Code: MARKET_DATA_NOT_SUBSCRIBED, Msg: Insufficient permission)",,,,A,high,the REFUSED line in trades.log,"REFUSED  OPEN PLTR (Mike's call) 170C 8/7 x5 @ 2.44  ->  couldn't get a quote for PLTR260807C00170000 right now. Nothing was sent. (option_market_data.get_option_snapshot: HTTP Status: 403, Code: MARKET_DATA_NOT_SUBSCRIBED, Msg: Insufficient permission)"
2026-08-05,09:43,Honeydrip daytrades,Unraveller,TSLA,PUTS,325,2026-08-07,,,,OTHER refusal,OTHER refusal,,,,,,,,,,,,,,,,,,,,,False,trades.log:A,"REFUSED  OPEN TSLA (Unraveller's call) 325P 8/7 x5 @ 5.65  ->  couldn't get a quote for TSLA260807P00325000 right now. Nothing was sent. (option_market_data.get_option_snapshot: HTTP Status: 403, Code: MARKET_DATA_NOT_SUBSCRIBED, Msg: Insufficient permission)",,,,A,high,the REFUSED line's own contract,"REFUSED  OPEN TSLA (Unraveller's call) 325P 8/7 x5 @ 5.65  ->  couldn't get a quote for TSLA260807P00325000 right now. Nothing was sent. (option_market_data.get_option_snapshot: HTTP Status: 403, Code: MARKET_DATA_NOT_SUBSCRIBED, Msg: Insufficient permission)"
2026-08-05,09:52,,JpmInvestments,SPY,PUTS,772,2026-08-05,,1.12,,OTHER refusal,OTHER refusal,SPY,,,,,,,,,,,,,,,,,,,,False,trades.log,"REFUSED  OPEN SPY (JpmInvestments's call) 772P 08/05 x5 @ 1.12  ->  couldn't get a quote for SPY260805P00772000 right now. Nothing was sent. (option_market_data.get_option_snapshot: HTTP Status: 403, Code: MARKET_DATA_NOT_SUBSCRIBED, Msg: Insufficient permission)",,,,A,high,the REFUSED line in trades.log,"REFUSED  OPEN SPY (JpmInvestments's call) 772P 08/05 x5 @ 1.12  ->  couldn't get a quote for SPY260805P00772000 right now. Nothing was sent. (option_market_data.get_option_snapshot: HTTP Status: 403, Code: MARKET_DATA_NOT_SUBSCRIBED, Msg: Insufficient permission)"
2026-08-05,10:00,Demon Alerts,Demon Alerts,DAL,CALLS,98,2026-08-07,,0.40,,OTHER refusal,OTHER refusal,DAL,,,,,,,,,,,,,,,,,,,,False,trades.log,"REFUSED  OPEN DAL (Demon Alerts's call) 98C 8/7 x5 @ 0.40  ->  couldn't get a quote for DAL260807C00098000 right now. Nothing was sent. (option_market_data.get_option_snapshot: HTTP Status: 403, Code: MARKET_DATA_NOT_SUBSCRIBED, Msg: Insufficient permission)",,,,A,high,the REFUSED line in trades.log,"REFUSED  OPEN DAL (Demon Alerts's call) 98C 8/7 x5 @ 0.40  ->  couldn't get a quote for DAL260807C00098000 right now. Nothing was sent. (option_market_data.get_option_snapshot: HTTP Status: 403, Code: MARKET_DATA_NOT_SUBSCRIBED, Msg: Insufficient permission)"
2026-08-05,10:04,,Bullwinkle,NVDA,CALLS,230,2026-08-07,,2.40,,OTHER refusal,OTHER refusal,NVDA,,,,,,,,,,,,,,,,,,,,False,trades.log,"REFUSED  OPEN NVDA (Bullwinkle's call) 230C 2026-08-07 x5 @ 2.40  ->  couldn't make sense of the expiry ""2026-08-07"". Nothing was sent.",,,,A,high,the REFUSED line in trades.log,"REFUSED  OPEN NVDA (Bullwinkle's call) 230C 2026-08-07 x5 @ 2.40  ->  couldn't make sense of the expiry ""2026-08-07"". Nothing was sent."
2026-08-05,10:06,Honeydrip daytrades,Brett,IWM,CALLS,302,2026-08-07,,,,OTHER refusal,OTHER refusal,IWM,,,,,,,,,,,,,,,,,,,,False,trades.log,"REFUSED  OPEN IWM (Brett's call) 302C 8/7 x5  ->  couldn't get a quote for IWM260807C00302000 right now. Nothing was sent. (option_market_data.get_option_snapshot: HTTP Status: 403, Code: MARKET_DATA_NOT_SUBSCRIBED, Msg: Insufficient permission)",,,,A,high,the REFUSED line in trades.log,"REFUSED  OPEN IWM (Brett's call) 302C 8/7 x5  ->  couldn't get a quote for IWM260807C00302000 right now. Nothing was sent. (option_market_data.get_option_snapshot: HTTP Status: 403, Code: MARKET_DATA_NOT_SUBSCRIBED, Msg: Insufficient permission)"
2026-08-05,10:24,Demon Alerts,Demon Alerts,NVDA,CALLS,222.5,2026-08-05,,,,OTHER refusal,OTHER refusal,,,,,,,,,,,,,,,,,,,,,False,trades.log:A,"REFUSED  OPEN NVDA (Demon Alerts's call) 222.5C 8/5 x5 @ 0.91  ->  couldn't get a quote for NVDA260805C00222500 right now. Nothing was sent. (option_market_data.get_option_snapshot: HTTP Status: 403, Code: MARKET_DATA_NOT_SUBSCRIBED, Msg: Insufficient permission)",,,,A,high,the REFUSED line's own contract,"REFUSED  OPEN NVDA (Demon Alerts's call) 222.5C 8/5 x5 @ 0.91  ->  couldn't get a quote for NVDA260805C00222500 right now. Nothing was sent. (option_market_data.get_option_snapshot: HTTP Status: 403, Code: MARKET_DATA_NOT_SUBSCRIBED, Msg: Insufficient permission)"
2026-08-05,10:29,Honeydrip daytrades,Mike,QQQ,PUTS,725,2026-08-06,,4.66,,OTHER refusal,OTHER refusal,QQQ,,,,,,,,,,,,,,,,,,,,False,trades.log,"REFUSED  OPEN QQQ (Mike's call) 725P 8/6 x5 @ 4.66  ->  couldn't get a quote for QQQ260806P00725000 right now. Nothing was sent. (option_market_data.get_option_snapshot: HTTP Status: 403, Code: MARKET_DATA_NOT_SUBSCRIBED, Msg: Insufficient permission)",,,,A,high,the REFUSED line in trades.log,"REFUSED  OPEN QQQ (Mike's call) 725P 8/6 x5 @ 4.66  ->  couldn't get a quote for QQQ260806P00725000 right now. Nothing was sent. (option_market_data.get_option_snapshot: HTTP Status: 403, Code: MARKET_DATA_NOT_SUBSCRIBED, Msg: Insufficient permission)"
