born,arm,step,total,win_pct,n
5.0,3.0,5.0,503.65,25.2,115
6.0,3.0,5.0,499.56,29.6,115
5.0,3.0,10.0,479.0,20.0,115
5.0,3.0,4.0,468.48,26.1,115
6.0,3.0,4.0,463.94,30.4,115
6.0,3.0,10.0,444.26,23.5,115
5.0,2.0,10.0,426.5,19.1,115
6.0,5.0,4.0,414.74,32.2,115
6.0,5.0,2.0,413.26,34.8,115
5.0,2.0,5.0,408.9,25.2,115
6.0,4.0,5.0,403.23,30.4,115
5.0,5.0,4.0,400.71,26.1,115
6.0,2.0,5.0,400.27,28.7,115
5.0,5.0,2.0,388.85,28.7,115
6.0,4.0,4.0,388.06,32.2,115
5.0,4.0,4.0,384.39,26.1,115
6.0,2.0,10.0,382.22,21.7,115
5.0,4.0,5.0,380.25,24.3,115
6.0,5.0,3.0,376.56,33.9,115
5.0,2.0,4.0,376.36,29.6,115
6.0,2.0,4.0,374.96,33.0,115
5.0,5.0,3.0,366.27,27.8,115
5.0,4.0,10.0,347.45,19.1,115
6.0,5.0,5.0,342.64,29.6,115
5.0,5.0,5.0,340.6,24.3,115
6.0,4.0,10.0,339.78,24.3,115
5.0,7.5,2.0,335.15,27.0,115
6.0,4.0,7.5,332.83,26.1,115
5.0,2.0,7.5,327.95,22.6,115
6.0,3.0,3.0,318.72,35.7,115
5.0,3.0,3.0,318.12,31.3,115
6.0,7.5,2.0,317.46,32.2,115
6.0,2.0,7.5,313.39,25.2,115
5.0,4.0,7.5,309.17,20.9,115
5.0,6.0,3.0,308.31,27.0,115
6.0,5.0,10.0,305.34,24.3,115
5.0,6.0,5.0,304.65,24.3,115
5.0,5.0,10.0,302.65,19.1,115
6.0,2.0,2.0,301.9,40.0,115
5.0,6.0,4.0,301.37,24.3,115
5.0,2.0,2.0,299.26,36.5,115
5.0,7.5,4.0,299.13,23.5,115
6.0,6.0,3.0,298.58,33.0,115
6.0,3.0,7.5,297.36,26.1,115
6.0,4.0,2.0,297.18,38.3,115
5.0,6.0,2.0,295.91,28.7,115
5.0,3.0,7.5,289.87,22.6,115
6.0,6.0,4.0,287.3,29.6,115
6.0,6.0,2.0,285.88,34.8,115
6.0,4.0,3.0,283.56,33.0,115
6.0,6.0,5.0,282.57,29.6,115
5.0,4.0,2.0,277.79,32.2,115
5.0,2.0,3.0,275.79,33.9,115
6.0,5.0,7.5,274.69,26.1,115
6.0,7.5,4.0,273.62,28.7,115
5.0,5.0,7.5,272.47,20.9,115
6.0,2.0,3.0,270.85,37.4,115
5.0,7.5,3.0,263.49,26.1,115
5.0,4.0,3.0,262.9,27.0,115
7.5,3.0,5.0,249.38,29.6,115
6.0,7.5,3.0,239.33,31.3,115
6.0,3.0,2.0,237.74,40.0,115
5.0,7.5,5.0,236.05,22.6,115
5.0,3.0,2.0,232.9,35.7,115
5.0,6.0,10.0,228.15,18.3,115
5.0,6.0,7.5,219.62,19.1,115
6.0,7.5,5.0,216.17,27.8,115
9.0,5.0,2.0,215.06,36.5,115
7.5,3.0,4.0,213.76,30.4,115
9.0,5.0,4.0,210.88,33.9,115
9.0,3.0,5.0,201.61,30.4,115
6.0,6.0,10.0,201.32,22.6,115
6.0,6.0,7.5,194.32,24.3,115
7.5,3.0,10.0,194.08,23.5,115
5.0,7.5,7.5,187.72,20.0,115
5.0,7.5,10.0,181.75,17.4,115
9.0,5.0,3.0,175.53,35.7,115
5.0,10.0,2.0,168.35,24.3,115
5.0,10.0,3.0,167.02,23.5,115
9.0,3.0,4.0,163.16,31.3,115
7.5,5.0,4.0,159.28,32.2,115
7.5,5.0,2.0,157.8,34.8,115
6.0,7.5,10.0,157.12,21.7,115
6.0,7.5,7.5,154.62,25.2,115
7.5,2.0,5.0,153.25,28.7,115
6.0,10.0,3.0,152.42,29.6,115
6.0,10.0,2.0,150.46,30.4,115
7.5,4.0,5.0,149.78,30.4,115
10.0,5.0,2.0,143.76,37.4,115
10.0,5.0,4.0,139.58,34.8,115
9.0,5.0,5.0,135.48,31.3,115
7.5,2.0,10.0,135.2,21.7,115
7.5,4.0,4.0,134.61,32.2,115
5.0,10.0,4.0,133.03,21.7,115
9.0,3.0,10.0,132.16,24.3,115
10.0,3.0,5.0,130.75,31.3,115
7.5,2.0,4.0,127.94,33.0,115
5.0,10.0,10.0,123.05,17.4,115
7.5,5.0,3.0,121.1,33.9,115
5.0,10.0,5.0,116.9,20.9,115
6.0,10.0,4.0,113.14,27.8,115
9.0,2.0,5.0,108.65,29.6,115
6.0,10.0,5.0,105.0,27.0,115
10.0,5.0,3.0,104.23,36.5,115
6.0,10.0,10.0,101.4,22.6,115
10.0,3.0,4.0,95.38,32.2,115
5.0,10.0,7.5,90.25,18.3,115
7.5,5.0,5.0,87.18,29.6,115
7.5,4.0,10.0,86.33,24.3,115
6.0,10.0,7.5,84.65,23.5,115
9.0,4.0,5.0,84.59,31.3,115
9.0,5.0,10.0,81.68,26.1,115
9.0,4.0,4.0,80.74,33.0,115
7.5,4.0,7.5,79.38,26.1,115
9.0,2.0,10.0,76.45,22.6,115
9.0,6.0,3.0,72.59,34.8,115
7.5,3.0,3.0,68.54,35.7,115
7.5,2.0,7.5,66.38,25.2,115
9.0,6.0,2.0,62.72,36.5,115
10.0,3.0,10.0,61.3,25.2,115
10.0,5.0,5.0,61.1,32.2,115
9.0,7.5,2.0,58.64,33.9,115
9.0,6.0,4.0,58.48,31.3,115
9.0,5.0,7.5,58.11,27.8,115
7.5,2.0,2.0,54.88,40.0,115
9.0,6.0,5.0,50.45,31.3,115
7.5,5.0,10.0,49.88,24.3,115
