born,arm,wide,total,win_pct
7.5,5.0,10.0,38.45,30.0
7.5,7.5,10.0,32.68,30.0
7.5,4.0,10.0,-5.05,28.8
7.5,5.0,15.0,-143.8,26.2
7.5,7.5,15.0,-149.57,26.2
7.5,4.0,15.0,-211.7,25.0
7.5,3.0,10.0,-245.5,23.8
7.5,5.0,20.0,-338.15,25.0
7.5,7.5,20.0,-343.92,25.0
7.5,3.0,15.0,-362.3,20.0
7.5,4.0,20.0,-406.05,23.8
7.5,5.0,25.0,-425.65,13.8
7.5,7.5,25.0,-431.42,13.8
7.5,5.0,30.0,-435.15,13.8
7.5,7.5,30.0,-440.92,13.8
7.5,5.0,40.0,-454.15,13.8
7.5,3.0,20.0,-458.4,18.8
7.5,7.5,40.0,-459.92,13.8
7.5,3.0,25.0,-488.9,11.2
7.5,4.0,25.0,-493.55,12.5
7.5,3.0,30.0,-498.4,11.2
7.5,4.0,30.0,-503.05,12.5
7.5,3.0,40.0,-517.4,11.2
7.5,4.0,40.0,-522.05,12.5
