born_stop_pct,arm_to_be_pct,total_pl_dollars,avg_pl_dollars,win_rate_pct,resolved_of
5.0,5.0,-819.45,-8.03,7.8,96/102
5.0,7.5,-832.13,-8.16,8.8,96/102
5.0,12.5,-909.5,-8.92,6.9,94/102
5.0,15.0,-929.0,-9.11,6.9,94/102
5.0,20.0,-947.4,-9.29,6.9,94/102
5.0,10.0,-963.55,-9.45,6.9,96/102
7.5,5.0,-967.42,-9.48,13.7,89/102
7.5,7.5,-968.95,-9.5,15.7,89/102
5.0,25.0,-986.4,-9.67,5.9,94/102
5.0,30.0,-986.4,-9.67,5.9,94/102
7.5,10.0,-1119.52,-10.98,10.8,88/102
7.5,20.0,-1125.25,-11.03,10.8,86/102
7.5,12.5,-1159.47,-11.37,8.8,86/102
7.5,15.0,-1187.6,-11.64,8.8,86/102
7.5,25.0,-1208.25,-11.85,9.8,86/102
10.0,5.0,-1261.35,-12.37,14.7,85/102
10.0,7.5,-1290.08,-12.65,18.6,83/102
7.5,30.0,-1340.75,-13.14,7.8,86/102
12.5,5.0,-1407.25,-13.8,18.6,81/102
10.0,10.0,-1407.6,-13.8,13.7,81/102
10.0,20.0,-1419.1,-13.91,13.7,79/102
10.0,12.5,-1447.55,-14.19,11.8,79/102
12.5,7.5,-1464.78,-14.36,22.5,77/102
10.0,15.0,-1478.55,-14.5,11.8,79/102
10.0,25.0,-1525.6,-14.96,12.7,79/102
12.5,10.0,-1635.9,-16.04,19.6,72/102
10.0,30.0,-1673.0,-16.4,10.8,79/102
12.5,20.0,-1709.12,-16.76,17.6,70/102
15.0,5.0,-1720.45,-16.87,18.6,78/102
12.5,12.5,-1720.62,-16.87,15.7,70/102
12.5,15.0,-1754.5,-17.2,15.7,70/102
15.0,7.5,-1781.17,-17.46,22.5,73/102
12.5,25.0,-1818.12,-17.82,18.6,70/102
20.0,5.0,-1881.4,-18.45,21.6,76/102
12.5,30.0,-1940.43,-19.02,17.6,69/102
15.0,10.0,-1971.35,-19.33,19.6,68/102
20.0,7.5,-1988.53,-19.5,25.5,71/102
15.0,12.5,-2029.75,-19.9,15.7,66/102
17.5,5.0,-2031.65,-19.92,18.6,77/102
15.0,15.0,-2066.5,-20.26,15.7,66/102
15.0,20.0,-2068.8,-20.28,17.6,66/102
17.5,7.5,-2115.57,-20.74,22.5,72/102
20.0,12.5,-2190.95,-21.48,18.6,63/102
15.0,25.0,-2201.3,-21.58,18.6,66/102
20.0,10.0,-2259.9,-22.16,23.5,65/102
17.5,10.0,-2317.68,-22.72,19.6,66/102
15.0,30.0,-2323.6,-22.78,17.6,65/102
20.0,20.0,-2327.6,-22.82,20.6,63/102
20.0,15.0,-2338.45,-22.93,18.6,63/102
17.5,12.5,-2377.75,-23.31,15.7,64/102
17.5,15.0,-2417.38,-23.7,15.7,64/102
17.5,20.0,-2439.35,-23.92,17.6,64/102
17.5,25.0,-2595.35,-25.44,18.6,64/102
20.0,25.0,-2650.1,-25.98,19.6,63/102
17.5,30.0,-2717.65,-26.64,17.6,63/102
20.0,30.0,-2759.0,-27.05,18.6,62/102
