bucket,born,arm,total,win_pct,n
cheap  <$1.00,5.0,10.0,-16.85,20.0,15
cheap  <$1.00,5.0,5.0,-21.8,13.3,15
cheap  <$1.00,5.0,7.5,-21.8,13.3,15
cheap  <$1.00,5.0,12.5,-22.95,13.3,15
cheap  <$1.00,5.0,15.0,-22.95,13.3,15
cheap  <$1.00,5.0,20.0,-22.95,13.3,15
cheap  <$1.00,5.0,25.0,-26.0,13.3,15
cheap  <$1.00,5.0,3.0,-31.27,20.0,15
cheap  <$1.00,7.5,5.0,-35.25,13.3,15
cheap  <$1.00,7.5,10.0,-36.07,20.0,15
cheap  <$1.00,7.5,7.5,-41.02,13.3,15
cheap  <$1.00,7.5,12.5,-42.17,13.3,15
cheap  <$1.00,7.5,15.0,-42.17,13.3,15
cheap  <$1.00,7.5,20.0,-42.17,13.3,15
cheap  <$1.00,7.5,3.0,-44.72,20.0,15
cheap  <$1.00,7.5,25.0,-46.75,13.3,15
cheap  <$1.00,15.0,20.0,-51.05,26.7,15
cheap  <$1.00,10.0,5.0,-52.05,13.3,15
cheap  <$1.00,10.0,10.0,-54.8,20.0,15
cheap  <$1.00,20.0,20.0,-56.4,33.3,15
cheap  <$1.00,15.0,5.0,-58.45,26.7,15
cheap  <$1.00,10.0,7.5,-59.75,13.3,15
cheap  <$1.00,10.0,12.5,-60.9,13.3,15
cheap  <$1.00,10.0,15.0,-60.9,13.3,15
cheap  <$1.00,10.0,20.0,-60.9,13.3,15
cheap  <$1.00,10.0,3.0,-61.52,20.0,15
cheap  <$1.00,12.5,5.0,-64.1,13.3,15
cheap  <$1.00,10.0,25.0,-67.0,13.3,15
cheap  <$1.00,20.0,5.0,-67.45,26.7,15
cheap  <$1.00,15.0,25.0,-73.1,26.7,15
cheap  <$1.00,12.5,10.0,-73.52,20.0,15
cheap  <$1.00,12.5,3.0,-73.57,20.0,15
cheap  <$1.00,15.0,3.0,-76.52,20.0,15
cheap  <$1.00,25.0,20.0,-76.85,33.3,15
cheap  <$1.00,15.0,7.5,-77.85,26.7,15
cheap  <$1.00,12.5,7.5,-78.47,13.3,15
cheap  <$1.00,15.0,10.0,-79.35,20.0,15
cheap  <$1.00,12.5,12.5,-79.62,13.3,15
cheap  <$1.00,12.5,15.0,-79.62,13.3,15
cheap  <$1.00,12.5,20.0,-79.62,13.3,15
cheap  <$1.00,20.0,25.0,-81.5,33.3,15
cheap  <$1.00,20.0,10.0,-84.7,26.7,15
cheap  <$1.00,20.0,7.5,-85.2,26.7,15
cheap  <$1.00,15.0,12.5,-85.45,13.3,15
cheap  <$1.00,15.0,15.0,-85.45,13.3,15
cheap  <$1.00,20.0,3.0,-85.52,20.0,15
cheap  <$1.00,25.0,5.0,-86.0,26.7,15
cheap  <$1.00,12.5,25.0,-87.25,13.3,15
cheap  <$1.00,20.0,12.5,-90.8,20.0,15
cheap  <$1.00,20.0,15.0,-90.8,20.0,15
cheap  <$1.00,25.0,3.0,-104.07,20.0,15
cheap  <$1.00,25.0,25.0,-105.0,33.3,15
cheap  <$1.00,25.0,10.0,-105.15,26.7,15
cheap  <$1.00,25.0,7.5,-105.65,26.7,15
cheap  <$1.00,25.0,12.5,-111.25,20.0,15
cheap  <$1.00,25.0,15.0,-111.25,20.0,15
exp    >=$2.00,7.5,5.0,208.53,36.4,44
exp    >=$2.00,7.5,7.5,60.5,29.5,44
exp    >=$2.00,10.0,5.0,18.75,36.4,44
exp    >=$2.00,7.5,3.0,-8.0,34.1,44
exp    >=$2.00,12.5,5.0,-97.9,36.4,44
exp    >=$2.00,7.5,10.0,-128.3,29.5,44
exp    >=$2.00,10.0,7.5,-129.28,29.5,44
exp    >=$2.00,10.0,3.0,-191.23,34.1,44
exp    >=$2.00,5.0,3.0,-202.8,18.2,44
exp    >=$2.00,10.0,25.0,-213.45,27.3,44
exp    >=$2.00,12.5,7.5,-245.93,29.5,44
exp    >=$2.00,5.0,5.0,-262.2,18.2,44
exp    >=$2.00,15.0,5.0,-264.05,36.4,44
exp    >=$2.00,7.5,15.0,-283.15,20.5,44
exp    >=$2.00,12.5,3.0,-284.53,36.4,44
exp    >=$2.00,5.0,7.5,-313.03,15.9,44
exp    >=$2.00,10.0,10.0,-355.1,29.5,44
exp    >=$2.00,7.5,20.0,-357.85,20.5,44
exp    >=$2.00,7.5,12.5,-390.4,15.9,44
exp    >=$2.00,5.0,10.0,-399.1,13.6,44
exp    >=$2.00,12.5,25.0,-402.75,29.5,44
exp    >=$2.00,15.0,7.5,-412.08,29.5,44
exp    >=$2.00,5.0,12.5,-412.9,11.4,44
