ts_iso,date,time,room,caller,symbol,side,strike,expiry_raw,expiry_resolved,occ,their_price,qty,outcome,tier,confidence,flags,how_recovered,corroborating_lines,source_line_number,source_line_text
2026-08-04T15:20:55-04:00,2026-08-04,15:20,ZT opt-5,EvaPanda Alerts,NFLX,CALLS,75,08/07/2026,2026-08-07,NFLX260807C00075000,0.61,5,REFUSED - couldn't get a quote for NFLX260807C00075000 right now. Nothing was se,B,high,,M/D/YYYY as posted | expiry independently confirmed by the OCC the bot built,,38,"REFUSED  OPEN NFLX (EvaPanda Alerts's call) 75C 08/07/2026 x5 @ 0.61  ->  couldn't get a quote for NFLX260807C00075000 right now. Nothing was sent. (option_market_data.get_option_snapshot: HTTP Status: 403, Code: MARKET_DATA_NOT_SUBSCRIBED, Msg: Insufficient permission)"
2026-08-04T15:32:40-04:00,2026-08-04,15:32,,Bullwinkle,NVDA,CALLS,217.5,2026-08-07,2026-08-07,,3.60,5,"REFUSED - couldn't make sense of the expiry ""2026-08-07"". Nothing was sent.",A,high,,already a full date,,40,"REFUSED  OPEN NVDA (Bullwinkle's call) 217.5C 2026-08-07 x5 @ 3.60  ->  couldn't make sense of the expiry ""2026-08-07"". Nothing was sent."
2026-08-05T09:30:43-04:00,2026-08-05,09:30,Honeydrip daytrades,Unraveller,TSLA,PUTS,320,8/6,2026-08-06,TSLA260806P00320000,4.60,5,REFUSED - couldn't get a quote for TSLA260806P00320000 right now. Nothing was se,B,high,,"M/D, year taken from the alert date | expiry independently confirmed by the OCC the bot built",L56(B),50,"REFUSED  OPEN TSLA (Unraveller's call) 320P 8/6 x5 @ 4.60  ->  couldn't get a quote for TSLA260806P00320000 right now. Nothing was sent. (option_market_data.get_option_snapshot: HTTP Status: 403, Code: MARKET_DATA_NOT_SUBSCRIBED, Msg: Insufficient permission)"
2026-08-05T09:38:40-04:00,2026-08-05,09:38,Honeydrip daytrades,Mike,PLTR,CALLS,170,8/7,2026-08-07,PLTR260807C00170000,2.44,5,REFUSED - couldn't get a quote for PLTR260807C00170000 right now. Nothing was se,B,high,,"M/D, year taken from the alert date | expiry independently confirmed by the OCC the bot built",L59(B),55,"REFUSED  OPEN PLTR (Mike's call) 170C 8/7 x5 @ 2.44  ->  couldn't get a quote for PLTR260807C00170000 right now. Nothing was sent. (option_market_data.get_option_snapshot: HTTP Status: 403, Code: MARKET_DATA_NOT_SUBSCRIBED, Msg: Insufficient permission)"
2026-08-05T09:43:00-04:00,2026-08-05,09:43,,Unraveller,TSLA,PUTS,325,8/7,2026-08-07,TSLA260807P00325000,5.65,5,REFUSED - couldn't get a quote for TSLA260807P00325000 right now. Nothing was se,B,high,,"M/D, year taken from the alert date | expiry independently confirmed by the OCC the bot built",L67(B);L72(B),58,"REFUSED  OPEN TSLA (Unraveller's call) 325P 8/7 x5 @ 5.65  ->  couldn't get a quote for TSLA260807P00325000 right now. Nothing was sent. (option_market_data.get_option_snapshot: HTTP Status: 403, Code: MARKET_DATA_NOT_SUBSCRIBED, Msg: Insufficient permission)"
2026-08-05T09:52:44-04:00,2026-08-05,09:52,,JpmInvestments,SPY,PUTS,772,08/05,2026-08-05,SPY260805P00772000,1.12,5,REFUSED - couldn't get a quote for SPY260805P00772000 right now. Nothing was sen,B,high,,"M/D, year taken from the alert date | expiry independently confirmed by the OCC the bot built",,75,"REFUSED  OPEN SPY (JpmInvestments's call) 772P 08/05 x5 @ 1.12  ->  couldn't get a quote for SPY260805P00772000 right now. Nothing was sent. (option_market_data.get_option_snapshot: HTTP Status: 403, Code: MARKET_DATA_NOT_SUBSCRIBED, Msg: Insufficient permission)"
2026-08-05T09:59:08-04:00,2026-08-05,09:59,,Bullwinkle,PLTR,CALLS,170,2026-08-07,2026-08-07,,2.92,5,"REFUSED - couldn't make sense of the expiry ""2026-08-07"". Nothing was sent.",A,high,,already a full date,,81,"REFUSED  OPEN PLTR (Bullwinkle's call) 170C 2026-08-07 x5 @ 2.92  ->  couldn't make sense of the expiry ""2026-08-07"". Nothing was sent."
2026-08-05T10:00:19-04:00,2026-08-05,10:00,Demon Alerts,Demon Alerts,DAL,CALLS,98,8/7,2026-08-07,DAL260807C00098000,0.40,5,REFUSED - couldn't get a quote for DAL260807C00098000 right now. Nothing was sen,B,high,,"M/D, year taken from the alert date | expiry independently confirmed by the OCC the bot built",,83,"REFUSED  OPEN DAL (Demon Alerts's call) 98C 8/7 x5 @ 0.40  ->  couldn't get a quote for DAL260807C00098000 right now. Nothing was sent. (option_market_data.get_option_snapshot: HTTP Status: 403, Code: MARKET_DATA_NOT_SUBSCRIBED, Msg: Insufficient permission)"
2026-08-05T10:04:36-04:00,2026-08-05,10:04,,Bullwinkle,NVDA,CALLS,230,2026-08-07,2026-08-07,,2.40,5,"REFUSED - couldn't make sense of the expiry ""2026-08-07"". Nothing was sent.",A,high,,already a full date,L90(A);L91(A);L92(A),87,"REFUSED  OPEN NVDA (Bullwinkle's call) 230C 2026-08-07 x5 @ 2.40  ->  couldn't make sense of the expiry ""2026-08-07"". Nothing was sent."
2026-08-05T10:06:53-04:00,2026-08-05,10:06,Honeydrip daytrades,Brett,IWM,CALLS,302,8/7,2026-08-07,IWM260807C00302000,,5,REFUSED - couldn't get a quote for IWM260807C00302000 right now. Nothing was sen,B,high,,"M/D, year taken from the alert date | expiry independently confirmed by the OCC the bot built",,94,"REFUSED  OPEN IWM (Brett's call) 302C 8/7 x5  ->  couldn't get a quote for IWM260807C00302000 right now. Nothing was sent. (option_market_data.get_option_snapshot: HTTP Status: 403, Code: MARKET_DATA_NOT_SUBSCRIBED, Msg: Insufficient permission)"
