caller,room,kind,entries_all,entries_linked,median_min_to_first_trim,p25_min_first_trim,p75_min_first_trim,n_first_trim,median_first_trim_pct,n_first_trim_pct,median_min_to_exit,n_exit,median_exit_pct,n_exit_pct,posts_a_stop_pct,median_stop_pct_of_premium,n_stop_pct,silent_rate_pct,no_posted_exit_pct,matchable_score
Brett,Honey Drip Network 🍯💰📈: ☀️｜daytrades-scalps #829754942817828884,option,33,16,4.058333333333334,2.05,13.733333333333333,14,10.0,14,21.2,13,60.0,5,0.0,,0,51.515151515151516,60.60606060606061,46.1
Mike,Honey Drip Network 🍯💰📈: ☀️｜daytrades-scalps #829754942817828884,option,37,16,2.825,1.1,6.3,12,10.0,12,9.625,12,21.5,6,0.0,,0,56.75675675675676,67.56756756756756,42.8
👑KingBeeAri🐝,Honey Drip Network 🍯💰📈: 👑｜aristotle-trades #987515353670221834,option,23,14,20.083333333333332,19.25,37.95,7,28.0,5,78.48333333333333,7,,0,0.0,,0,39.130434782608695,69.56521739130434,42.2
Unraveller,Honey Drip Network 🍯💰📈: ☀️｜daytrades-scalps #829754942817828884,option,96,40,0.8333333333333334,0.55,3.35,29,13.0,23,6.433333333333334,31,-9.25925925925926,11,0.0,,0,58.333333333333336,67.70833333333333,39.4
TradingTheTrend,TradingTheTrend: 🚨option-alerts🚨 #769797179992571914,option,14,7,581.3,67.61666666666666,1286.9333333333334,6,16.791044776119392,5,1217.3166666666666,6,-1.212121212121213,4,0.0,,0,50.0,57.142857142857146,38.5
The Pawn (The Market Bishop),ZTRADEZ (OPTIONS & STOCKS): ◽︱♟market-bishop #1239624229583061052,option,23,11,1228.8916666666667,1056.2166666666667,1423.1833333333334,6,29.351851851851848,6,548.1833333333333,6,-19.5,6,0.0,,0,52.17391304347826,73.91304347826087,38.0
ZTRADEZ BOT,ZTRADEZ (OPTIONS & STOCKS): ◽︱all-trades-mashup #1334236429655740457,option,36,11,536.0833333333333,8.116666666666667,2517.2833333333333,6,28.636363636363644,6,1054.1666666666667,5,-33.0,4,0.0,,0,69.44444444444444,86.11111111111111,33.6
TradeLikeGates,Summit Trading Strategies: 📌｜alert-room #642437862930907158,option,22,8,5.533333333333333,5.533333333333333,5.533333333333333,1,20.0,1,13.4,8,20.0,4,0.0,,0,63.63636363636363,63.63636363636363,30.1
@Futures Alerts,Platinum Trading: 🟣│futures-alerts #911390080285962290,future,9,5,,,,0,,0,12.133333333333333,5,,0,88.88888888888889,,0,44.44444444444444,44.44444444444444,-1.0
Vero,VeroTrade: ✅⏐1k-challenge #1323708708374450247,option,22,13,7.966666666666667,4.966666666666667,23.433333333333334,13,,0,,0,,0,0.0,,0,40.90909090909091,100.0,-1.0
