date,time,kind,occ,symbol,qty,our_bid,actual_fill,improvement,status,bid_at_read,ask_at_read,quote_gap_s,why,slack_0_cross,slack_0_entry,slack_0_pl,slack_2_cross,slack_2_entry,slack_2_pl,slack_3_cross,slack_3_entry,slack_3_pl,slack_5_cross,slack_5_entry,slack_5_pl,slack_7.5_cross,slack_7.5_entry,slack_7.5_pl,slack_10_cross,slack_10_entry,slack_10_pl
2026-08-05,13:14:51,nofill,AAPL260807C00315000,AAPL,5,1.13,,,quarantined,1.09,1.10,0,recorded ask 1.10 was at or under our bid 1.13 — the tape and the broker's book disagree,,,,,,,,,,,,,,,,,,
2026-08-05,14:10:06,nofill,MSFT260807P00480000,MSFT,5,2.15,,,unscored,,,,no tape ever quoted this contract,,,,,,,,,,,,,,,,,,
2026-08-05,14:35:12,nofill,SPCX260807P00090000,SPCX,5,0.30,,,unscored,,,,no tape ever quoted this contract,,,,,,,,,,,,,,,,,,
2026-08-05,15:27:07,fill,HPE260821C00055000,HPE,5,3.02,3.02,0,unscored,,,,no tape ever quoted this contract,,,,,,,,,,,,,,,,,,
2026-08-11,09:36:51,nofill,GOOGL260814C00360000,GOOGL,1,2.10,,,quarantined,2.00,2.03,0,recorded ask 2.03 was at or under our bid 2.10 — the tape and the broker's book disagree,,,,,,,,,,,,,,,,,,
2026-08-11,10:04:11,nofill,IBM260814C00240000,IBM,1,3.32,,,quarantined,3.05,3.20,46,recorded ask 3.20 was at or under our bid 3.32 — the tape and the broker's book disagree,,,,,,,,,,,,,,,,,,
2026-08-11,10:14:53,nofill,BAC260821C00064000,BAC,1,0.88,,,quarantined,0.84,0.85,58,recorded ask 0.85 was at or under our bid 0.88 — the tape and the broker's book disagree,,,,,,,,,,,,,,,,,,
2026-08-11,10:50:07,nofill,NVDA260814C00220000,NVDA,1,2.91,,,quarantined,2.73,2.76,53,recorded ask 2.76 was at or under our bid 2.91 — the tape and the broker's book disagree,,,,,,,,,,,,,,,,,,
2026-08-11,14:11:26,fill,RIOT260911C00023000,RIOT,1,0.99,0.96,3,unscored,,,,no recorded bid/ask within 90s of the order,,,,,,,,,,,,,,,,,,
2026-08-11,15:57:11,fill,ZETA260828C00030000,ZETA,1,1.21,1.15,6,scored,1.14,1.18,0,,True,1.2,-5,True,1.2,-5,True,1.2,-5,True,1.2,-5,True,1.2,-5,True,1.2,-5
2026-08-11,15:58:21,fill,SKHY260828C00150000,SKHY,1,6.23,6.01,22,scored,5.90,6.10,0,,True,6.1,-9,True,6.1,-9,True,6.1,-9,True,6.1,-9,True,6.1,-9,True,6.1,-9
2026-08-12,09:41:14,fill,META260814C00610000,META,1,3.22,3.15,7,scored,2.93,3.15,0,,True,3.15,-0,True,3.15,-0,True,3.15,-0,True,3.15,-0,True,3.15,-0,True,3.15,-0
2026-08-12,09:46:15,fill,LYFT260814C00016500,LYFT,1,0.74,0.68,6,scored,0.66,0.68,1,,True,0.68,-0,True,0.68,-0,True,0.68,-0,True,0.68,-0,True,0.68,-0,True,0.68,-0
2026-08-12,09:53:36,nofill,AMZN260814P00270000,AMZN,1,2.56,,,quarantined,2.45,2.48,0,recorded ask 2.48 was at or under our bid 2.56 — the tape and the broker's book disagree,,,,,,,,,,,,,,,,,,
2026-08-12,09:58:26,fill,AMZN260814C00277500,AMZN,1,0.69,0.67,2,scored,0.66,0.68,0,,True,0.68,-1,True,0.68,-1,True,0.68,-1,True,0.68,-1,True,0.68,-1,True,0.68,-1
2026-08-12,10:00:08,fill,SPY260812P00772000,SPY,1,1.20,1.20,0,unscored,,,,no tape ever quoted this contract,,,,,,,,,,,,,,,,,,
2026-08-12,10:05:02,fill,AMZN260814C00275000,AMZN,1,0.91,0.87,4,scored,0.85,0.86,0,,True,0.86,1,True,0.86,1,True,0.86,1,True,0.86,1,True,0.86,1,True,0.86,1
2026-08-12,10:06:03,fill,QQQ260812C00727000,QQQ,1,0.90,0.87,3,scored,0.86,0.87,0,,True,0.87,-0,True,0.87,-0,True,0.87,-0,True,0.87,-0,True,0.87,-0,True,0.87,-0
2026-08-12,10:15:08,fill,NVDA260812C00222500,NVDA,1,1.56,1.54,2,scored,1.52,1.54,0,,True,1.54,-0,True,1.54,-0,True,1.54,-0,True,1.54,-0,True,1.54,-0,True,1.54,-0
2026-08-12,10:30:12,fill,AAPL260814P00305000,AAPL,1,3.83,3.73,10,scored,3.65,3.75,0,,True,3.75,-2,True,3.75,-2,True,3.75,-2,True,3.75,-2,True,3.75,-2,True,3.75,-2
2026-08-12,12:28:00,fill,SPY260812C00773000,SPY,1,0.53,0.51,2,scored,0.50,0.51,0,,True,0.51,-0,True,0.51,-0,True,0.51,-0,True,0.51,-0,True,0.51,-0,True,0.51,-0
2026-08-12,12:38:59,fill,SPCX260814C00155000,SPCX,1,0.84,0.83,1,scored,0.80,0.83,0,,True,0.85,-2,True,0.85,-2,True,0.85,-2,True,0.85,-2,True,0.85,-2,True,0.85,-2
2026-08-12,12:41:33,fill,NVDA260814P00217500,NVDA,1,0.71,0.69,2,scored,0.67,0.68,0,,True,0.68,1,True,0.68,1,True,0.68,1,True,0.68,1,True,0.68,1,True,0.68,1
2026-08-12,13:08:31,nofill,QQQ260814P00720000,QQQ,1,1.93,,,quarantined,1.89,1.91,63,recorded ask 1.91 was at or under our bid 1.93 — the tape and the broker's book disagree,,,,,,,,,,,,,,,,,,
2026-08-12,13:47:13,fill,META260814C00585000,META,1,4.50,4.24,26,scored,4.20,4.40,0,,True,4.4,-16,True,4.4,-16,True,4.4,-16,True,4.4,-16,True,4.4,-16,True,4.4,-16
2026-08-12,14:37:02,fill,SPCX260814P00141000,SPCX,1,1.58,1.53,5,unscored,,,,no recorded bid/ask within 90s of the order,,,,,,,,,,,,,,,,,,
2026-08-13,09:41:42,fill,NVDA260814C00232500,NVDA,1,0.27,0.25,2,scored,0.25,0.26,0,,True,0.26,-1,True,0.26,-1,True,0.26,-1,True,0.26,-1,True,0.26,-1,True,0.26,-1
2026-08-13,09:43:04,fill,SMCI260814C00039500,SMCI,1,1.21,1.18,3,scored,1.10,1.14,0,,True,1.14,4,True,1.14,4,True,1.14,4,True,1.14,4,True,1.14,4,True,1.14,4
2026-08-13,09:45:43,fill,NVDA260814C00225000,NVDA,1,2.47,2.41,6,unscored,,,,no recorded bid/ask within 90s of the order,,,,,,,,,,,,,,,,,,
2026-08-13,09:49:43,fill,CBRS260821C00340000,CBRS,1,0.78,0.61,17,unscored,,,,no recorded bid/ask within 90s of the order,,,,,,,,,,,,,,,,,,
2026-08-13,09:54:04,fill,NVDA260814C00225000,NVDA,1,2.50,2.40,10,scored,2.38,2.41,0,,True,2.41,-1,True,2.41,-1,True,2.41,-1,True,2.41,-1,True,2.41,-1,True,2.41,-1
2026-08-13,09:55:15,fill,AAPL260814C00305000,AAPL,1,1.73,1.67,6,unscored,,,,no recorded bid/ask within 90s of the order,,,,,,,,,,,,,,,,,,
2026-08-13,09:55:17,fill,TSLA260814C00340000,TSLA,1,1.07,1.05,2,scored,1.03,1.04,0,,True,1.04,1,True,1.04,1,True,1.04,1,True,1.04,1,True,1.04,1,True,1.04,1
2026-08-13,09:57:05,fill,JACK260821C00022500,JACK,1,0.83,0.80,3,unscored,,,,no recorded bid/ask within 90s of the order,,,,,,,,,,,,,,,,,,
2026-08-13,10:03:03,fill,AMD260814C00505000,AMD,1,3.58,3.47,11,scored,3.25,3.50,0,,True,3.5,-3,True,3.5,-3,True,3.5,-3,True,3.5,-3,True,3.5,-3,True,3.5,-3
2026-08-13,10:10:33,fill,AVGO260821C00450000,AVGO,1,2.61,2.55,6,unscored,,,,no recorded bid/ask within 90s of the order,,,,,,,,,,,,,,,,,,
2026-08-14,09:40:29,fill,AMD260819C00507500,AMD,1,5.93,5.69,24,scored,5.65,5.80,0,,True,5.8,-11,True,5.8,-11,True,5.8,-11,True,5.8,-11,True,5.8,-11,True,5.8,-11
2026-08-14,09:46:35,fill,AAPL260819C00307500,AAPL,1,2.77,2.70,7,scored,2.63,2.70,0,,True,2.7,-0,True,2.7,-0,True,2.7,-0,True,2.7,-0,True,2.7,-0,True,2.7,-0
2026-08-14,10:18:51,fill,NVDA260819P00225000,NVDA,1,3.02,2.93,9,unscored,,,,no recorded bid/ask within 90s of the order,,,,,,,,,,,,,,,,,,
2026-08-14,10:35:24,nofill,SPY260817C00775000,SPY,1,3.14,,,unscored,,,,no tape ever quoted this contract,,,,,,,,,,,,,,,,,,
2026-08-17,09:30:42,fill,SPY260821P00776000,SPY,1,3.17,3.14,3,scored,3.11,3.14,0,,True,3.14,-0,True,3.14,-0,True,3.14,-0,True,3.14,-0,True,3.14,-0,True,3.14,-0
2026-08-17,09:31:38,fill,META260821C00595000,META,1,5.15,5.20,-5,unscored,,,,no recorded bid/ask within 90s of the order,,,,,,,,,,,,,,,,,,
2026-08-17,09:50:58,fill,AMD260821C00535000,AMD,1,6.15,6.20,-5,scored,6.10,6.40,55,,False,6.2,-0,False,6.2,-0,False,6.2,-0,True,6.4,-20,True,6.4,-20,True,6.4,-20
2026-08-17,10:08:55,fill,SCHW260821C00114000,SCHW,1,0.32,0.30,2,scored,0.29,0.30,80,,True,0.3,-0,True,0.3,-0,True,0.3,-0,True,0.3,-0,True,0.3,-0,True,0.3,-0
