status,entry,exit,why,pts,usd,mfe,mae,bars,mode,ts,sym,dirn,room,caller,src,lvl,ref
ok,28502.0,28522.0,RATCHET,20.0,40.0,38.0,16.25,2.0,market,2026-08-03 09:36:49-04:00,QQQ,L,ELITE OPTIONS: 🔔︱brandos-trade-alerts,EliteOptions | Brando,chat,,
ok,29797.5,29804.166666666668,RATCHET,6.666666666667879,13.333333333335759,28.25,17.0,18.0,market,2026-08-04 13:12:58-04:00,QQQ,L,ELITE OPTIONS: 🔔︱brandos-trade-alerts,EliteOptions | Brando,chat,,
ok,7803.5,7753.5,TARGET,50.0,250.0,49.0,16.0,130.0,market,2026-08-05 09:52:00-04:00,SPY,S,,JpmInvestments,bot,,
ok,29915.0,29895.0,RATCHET,20.0,40.0,43.25,3.75,2.0,market,2026-08-05 10:29:00-04:00,QQQ,S,Honeydrip daytrades,Mike,bot,,
ok,29858.5,29833.5,STOP,-25.0,-50.0,0.0,0.0,1.0,market,2026-08-05 11:02:00-04:00,QQQ,L,Demon Alerts,Demon Alerts,bot,,
ok,7756.5,7756.5,BE,0.0,0.0,18.0,6.0,238.0,market,2026-08-05 12:01:00-04:00,SPY,L,,,bot,,
ok,7766.75,7747.75,CLOSE,19.0,95.0,21.0,7.75,204.0,market,2026-08-05 12:35:00-04:00,SPY,S,,,bot,,
ok,7781.5,7756.5,STOP,-25.0,-125.0,4.75,23.5,134.0,market,2026-08-11 10:42:00-04:00,SPY,L,Honeydrip daytrades,Unraveller,bot,,
ok,7770.25,7769.5,CLOSE,0.75,3.75,13.75,10.75,359.0,market,2026-08-12 10:00:00-04:00,SPY,S,MR.TOPHAT,MR.TOPHAT (OPTIONS/FUTURES),bot,,
ok,29904.5,29917.833333333332,RATCHET,13.33333333333212,26.66666666666424,31.5,13.25,6.0,market,2026-08-12 10:06:00-04:00,QQQ,L,Demon Alerts,Demon Alerts,bot,,
ok,7769.0,7769.5,CLOSE,0.5,2.5,12.0,4.5,211.0,market,2026-08-12 12:28:00-04:00,SPY,L,,JpmInvestments,bot,,
ok,29918.5,29911.833333333332,RATCHET,6.666666666667879,13.333333333335759,29.25,0.75,17.0,market,2026-08-12 13:08:00-04:00,QQQ,S,Demon Alerts,TLM,bot,,
ok,7812.5,7805.5,CLOSE,-7.0,-35.0,4.5,16.0,324.0,market,2026-08-14 10:35:00-04:00,SPY,L,Honeydrip daytrades,Unraveller,bot,,
ok,7795.0,7768.75,CLOSE,26.25,131.25,28.75,5.0,354.0,market,2026-08-17 10:05:00-04:00,SPY,S,MR.TOPHAT,Vero,bot,,
ok,30174.0,30174.0,BE,-0.0,-0.0,18.75,6.5,2.0,market,2026-08-17 10:23:00-04:00,QQQ,S,,Vero,bot,,
ok,7727.0,7715.25,CLOSE,-11.75,-58.75,8.25,16.75,389.0,market,2026-08-18 09:30:00-04:00,SPY,L,Whop Day Trades,Trademorewiser (MOD),bot,,
ok,29658.75,29683.75,STOP,-25.0,-50.0,1.0,23.75,2.0,market,2026-08-18 09:46:00-04:00,QQQ,S,Vero 2,Vero,bot,,
ok,7724.5,7715.25,CLOSE,9.25,46.25,14.25,8.25,370.0,market,2026-08-18 09:49:00-04:00,SPY,S,Whop Day Trades,MR.TOPHAT (OPTIONS/FUTURES),bot,,
ok,7721.5,7715.25,CLOSE,6.25,31.25,11.25,11.25,345.0,market,2026-08-18 10:14:00-04:00,SPY,S,Whop Day Trades,TradingTheTrend,bot,,
ok,29622.0,29615.333333333332,RATCHET,6.666666666667879,13.333333333335759,26.25,0.75,4.0,market,2026-08-18 10:46:09-04:00,QQQ,S,VeroTrade: ✅⏐vero-trades,Vero,chat,,
ok,7720.0,7715.25,CLOSE,4.75,23.75,9.75,8.75,303.0,market,2026-08-18 10:56:00-04:00,SPY,S,Whop Day Trades,Mike,bot,,
ok,7723.25,7715.25,CLOSE,-8.0,-40.0,5.5,13.0,293.0,market,2026-08-18 11:06:00-04:00,SPY,L,Whop Day Trades,JpmInvestments,bot,,
