status,entry,exit,why,pts,usd,mfe,mae,bars,mode,ts,sym,dirn,room,caller,src,lvl,ref
ok,7694.75,7707.5,CLOSE,-12.75,-63.75,14.25,20.75,383,market,2026-09-17 09:36:00-04:00,SPY,S,Vero 1,Vero,grab,,
ok,7691.5,7707.5,CLOSE,16.0,80.0,24.0,11.0,379,market,2026-09-17 09:40:00-04:00,SPY,L,Honeydrip daytrades,HoneyDrip (Scribe),grab,,
ok,29644.5,29650.666666666668,RATCHET,6.166666666667879,12.333333333335759,24.75,20.75,6,market,2026-09-17 09:42:51-04:00,QQQ,L,Demon day-trades,Demon × LKS,shadow,,
ok,29670.75,29674.25,RATCHET,3.5,7.0,24.0,1.0,2,market,2026-09-17 09:52:00-04:00,QQQ,L,Vero 1,@vero-alerts,bot,,
ok,7692.25,7707.5,CLOSE,15.25,76.25,23.25,8.5,345,market,2026-09-17 10:14:00-04:00,SPY,L,Honeydrip daytrades,Brett,bot,,
ok,29711.5,29722.0,RATCHET,10.5,21.0,30.5,19.0,12,market,2026-09-17 10:16:49-04:00,QQQ,L,Brando Alerts,EliteOptions | Brando,shadow,,
ok,29718.25,29722.0,RATCHET,3.75,7.5,23.75,6.75,5,market,2026-09-17 10:23:00-04:00,QQQ,L,Vero 1,@vero-alerts,grab,,
ok,29722.75,29722.25,BE,-0.5,-1.0,21.0,14.75,11,market,2026-09-17 10:28:18-04:00,QQQ,L,Vero 1,Vero,shadow,,
ok,29684.25,29684.75,BE,-0.5,-1.0,18.0,11.25,7,market,2026-09-17 10:56:00-04:00,QQQ,S,Vero 2,Vero,grab,,
level never touched,,,,,,,,,level,2026-09-17 09:36:00-04:00,SPY,S,Vero 1,Vero,grab,7700.0,7694.75
level never touched,,,,,,,,,level,2026-09-17 09:40:00-04:00,SPY,L,Honeydrip daytrades,HoneyDrip (Scribe),grab,7675.0,7691.5
level never touched,,,,,,,,,level,2026-09-17 09:42:51-04:00,QQQ,L,Demon day-trades,Demon × LKS,shadow,29625.0,29644.5
ok,29640.0,29659.5,RATCHET,19.5,39.0,27.0,0.0,3,level,2026-09-17 09:52:00-04:00,QQQ,L,Vero 1,@vero-alerts,bot,29650.0,29670.75
level never touched,,,,,,,,,level,2026-09-17 10:14:00-04:00,SPY,L,Honeydrip daytrades,Brett,bot,7675.0,7692.25
level never touched,,,,,,,,,level,2026-09-17 10:16:49-04:00,QQQ,L,Brando Alerts,EliteOptions | Brando,shadow,29700.0,29711.5
ok,29690.0,29690.25,RATCHET,0.25,0.5,7.5,5.25,2,level,2026-09-17 10:23:00-04:00,QQQ,L,Vero 1,@vero-alerts,grab,29700.0,29718.25
ok,29690.0,29690.25,RATCHET,0.25,0.5,7.5,5.25,2,level,2026-09-17 10:28:18-04:00,QQQ,L,Vero 1,Vero,shadow,29700.0,29722.75
ok,29710.0,29710.5,BE,-0.5,-1.0,7.0,4.0,3,level,2026-09-17 10:56:00-04:00,QQQ,S,Vero 2,Vero,grab,29700.0,29684.25
ok,7690.0,7712.25,CLOSE,22.25,111.25,28.25,15.0,350,market,2026-09-18 10:09:00-04:00,SPY,L,Midas,Midas,shadow,,
ok,7689.25,7712.25,CLOSE,23.0,115.0,29.0,14.25,318,market,2026-09-18 10:41:00-04:00,SPY,L,TTT Lotto,Shakira T,shadow,,
ok,29764.0,29738.5,STOP,-25.5,-51.0,1.0,18.5,8,market,2026-09-18 10:54:00-04:00,QQQ,L,Shoof Alerts,Elite Options,shadow,,
ok,7692.75,7712.25,CLOSE,19.5,97.5,25.5,17.75,302,market,2026-09-18 10:57:00-04:00,SPX,L,shabs,shabs,shadow,,
ok,7682.75,7708.25,STOP,-25.5,-127.5,7.75,22.75,165,market,2026-09-18 12:01:00-04:00,SPY,S,OWLS jon-and-kian,jon & kian,shadow,,
ok,7679.75,7705.25,STOP,-25.5,-127.5,0.0,23.5,138,market,2026-09-18 12:27:00-04:00,SPY,S,Midas,Midas,shadow,,
ok,7690.5,7712.25,CLOSE,21.75,108.75,27.75,4.25,184,market,2026-09-18 12:55:00-04:00,SPX,L,TTT Lotto,rks_$$$$,shadow,,
level never touched,,,,,,,,,level,2026-09-18 10:09:00-04:00,SPY,L,Midas,Midas,shadow,7675.0,7690.0
level never touched,,,,,,,,,level,2026-09-18 10:41:00-04:00,SPY,L,TTT Lotto,Shakira T,shadow,7675.0,7689.25
ok,29740.0,29749.5,RATCHET,9.5,19.0,16.5,0.0,3,level,2026-09-18 10:54:00-04:00,QQQ,L,Shoof Alerts,Elite Options,shadow,29750.0,29764.0
level never touched,,,,,,,,,level,2026-09-18 10:57:00-04:00,SPX,L,shabs,shabs,shadow,7675.0,7692.75
level never touched,,,,,,,,,level,2026-09-18 12:01:00-04:00,SPY,S,OWLS jon-and-kian,jon & kian,shadow,7700.0,7682.75
level never touched,,,,,,,,,level,2026-09-18 12:27:00-04:00,SPY,S,Midas,Midas,shadow,7700.0,7679.75
level never touched,,,,,,,,,level,2026-09-18 12:55:00-04:00,SPX,L,TTT Lotto,rks_$$$$,shadow,7675.0,7690.5
