day,time,room,caller,occ,symbol,side,strike,expiry,their_price,entry,entry_basis,scored,gap_before_exit,spread_at_entry,first_quote_lag_s,quotes,median_gap_s,max_gap_s,gaps_over_2min,last_quote,reaches_close,peak_bid,peak_bid_at,pullback_why,pullback_entry,pullback_pl_A,A_exit,A_pl,A_why,A_born_stop,A_stop_moves,A_held_s,B_exit,B_pl,B_why,B_born_stop,B_stop_moves,B_held_s,C_exit,C_pl,C_why,C_born_stop,C_stop_moves,C_held_s,D_exit,D_pl,D_why,D_born_stop,D_stop_moves,D_held_s
2026-09-11,10:01:47,Platinum nitro,@Owner Alerts,NVDA260911C00220000,NVDA,CALLS,220.0,2026-09-11,2.15,2.11,first ask,True,True,0.02,1.0,295,5.4,9429.1,1,13:13:44,False,2.26,10:03:30,never touched $221 in 10 min,,,0.23,-188.0,first lock,2.0,1,9585.5,0.23,-188.0,born stop,2.0,0,9585.5,0.23,-188.0,first lock,2.0,1,9585.5,0.23,-188.0,born stop,2.0,0,9585.5
2026-09-11,10:25:30,Platinum nitro,Nitro Trades,TSLA260911P00362500,TSLA,PUTS,362.5,2026-09-11,1.79,1.82,first ask,True,False,0.03,0.9,1773,5.4,30.9,0,13:13:44,False,1.88,10:25:53,touched $364,1.41,-13.0,1.75,-7.0,first lock,1.73,1,32.3,1.73,-9.0,born stop,1.73,0,48.4,1.75,-7.0,first lock,1.73,1,32.3,1.73,-9.0,born stop,1.73,0,48.4
2026-09-11,10:37:41,Platinum nitro,@Owner Alerts,NVDA260911C00220000,NVDA,CALLS,220.0,2026-09-11,0.97,0.24,first ask,False,False,0.01,7431.6,265,5.4,30.9,0,13:13:44,False,0.23,12:41:33,never touched $219 in 10 min,,,0.21,-3.0,born stop,0.22,0,30.7,0.21,-3.0,born stop,0.22,0,30.7,0.21,-3.0,born stop,0.21,0,30.7,0.21,-3.0,born stop,0.21,0,30.7
2026-09-11,12:01:48,Honeydrip daytrades,Brett (Admin),HOOD260911C00118000,HOOD,CALLS,118.0,2026-09-11,,0.02,first ask,False,False,0.01,2385.2,265,5.4,30.9,0,13:13:44,False,0.01,12:41:33,not a round-number symbol (instant entry),,,0.01,-1.0,born stop,0.01,0,0.0,0.01,-1.0,born stop,0.01,0,0.0,0.01,-1.0,born stop,0.01,0,0.0,0.01,-1.0,born stop,0.01,0,0.0
2026-09-11,12:41:00,Demon day-trades,Demon × LKS,CPS260918C00025000,CPS,CALLS,25.0,2026-09-18,0.65,0.65,real fill,True,False,0.05,2.0,591,1.1,1.8,0,12:51:29,False,0.7,12:41:08,not a round-number symbol (instant entry),,,0.6,-5.0,first lock,0.55,1,19.0,0.6,-5.0,close,0.55,0,627.3,0.6,-5.0,first lock,0.5,1,19.0,0.6,-5.0,close,0.5,0,627.3
2026-09-14,10:13:11,Mugzone Options,MuggZone,CRWD260918C00245000,CRWD,CALLS,245.0,9/18,2.35,2.5,first ask,True,False,0.11,4.9,60,30.7,9778.4,5,14:32:00,False,2.63,10:15:20,not a round-number symbol (instant entry),,,2.45,-5.0,first lock,2.38,1,184.8,2.36,-14.0,born stop,2.38,0,215.5,2.45,-5.0,first lock,2.28,1,184.8,2.59,9.0,first lock,2.28,1,1223.9
2026-09-14,10:21:21,Platinum ei-alerts,PT | ei trades,TSLA260918C00357500,TSLA,CALLS,357.5,2026-09-18,1.42,7.4,real fill,True,False,0.15,7.7,1098,1.1,8455.0,2,14:32:00,False,7.25,10:24:27,touched $358,7.35,-35.0,7.05,-35.0,born stop,7.05,0,113.3,7.05,-35.0,born stop,7.05,0,113.3,7.05,-35.0,born stop,7.05,0,113.3,7.05,-35.0,born stop,7.05,0,113.3
2026-09-14,10:22:17,Platinum nitro,@Owner Alerts,TSLA260918P00357500,TSLA,PUTS,357.5,2026-09-18,1.61,6.5,first ask,True,False,0.1,13.0,430,5.4,8455.0,2,14:32:00,False,7.1,10:27:05,never touched $359 in 10 min,,,6.8,30.0,ratchet rung,6.15,2,366.4,6.1,-40.0,born stop,6.15,0,670.6,6.8,30.0,ratchet rung,6.15,2,366.4,6.1,-40.0,born stop,6.15,0,670.6
2026-09-14,10:23:12,Whop Day Trades,Trademorewiser (MOD),NVDA260916P00210000,NVDA,PUTS,210.0,9/16,2.4,2.4,real fill,True,False,0.02,7.4,1127,1.1,8455.0,2,14:32:00,False,2.53,10:26:42,never touched $211 in 10 min,,,2.4,0.0,first lock,2.28,1,330.8,2.28,-12.0,born stop,2.28,0,409.2,2.4,0.0,first lock,2.28,1,330.8,2.28,-12.0,born stop,2.28,0,409.2
2026-09-14,10:36:44,Demon day-trades,Demon × LKS,QQQ260914P00704000,QQQ,PUTS,704.0,9/14,1.0,1.13,real fill,True,False,0.01,16.8,487,5.4,8455.0,2,14:32:00,False,1.17,10:37:34,touched $705,1.01,-76.0,1.12,-1.0,first lock,1.07,1,40.6,1.07,-6.0,born stop,1.07,0,58.6,1.12,-1.0,first lock,1.07,1,40.6,1.07,-6.0,born stop,1.07,0,58.6
