day,time,room,caller,occ,symbol,side,source,touch_level,pb_entry,pb_entry_basis,pb_option_lag_s,take_entry,take_entry_basis,stock_best_favor,option_max_bid,take_A_pl,S1_exit,S1_pl,S1_why,S1_lag_s,S1_tape_ended_first,S1b_exit,S1b_pl,S1b_why,S1b_lag_s,S1b_tape_ended_first,S2_exit,S2_pl,S2_why,S2_lag_s,S2_tape_ended_first,S3_exit,S3_pl,S3_why,S3_lag_s,S3_tape_ended_first,P0_exit,P0_pl,P0_why,P0_lag_s,P0_tape_ended_first,A_exit,A_pl,A_why,A_lag_s,A_tape_ended_first,H_exit,H_pl,H_why,H_lag_s,H_tape_ended_first
2026-08-12,09:41:00,ZT scalps,Bullwinkle,META260814C00610000,META,CALLS,OPRA 1s,596.0,2.94,ask at the touch,0.1,3.15,real fill,0.17,3.05,-19.0,2.54,-40.0,stop,0.0,False,2.54,-40.0,stop,0.0,False,2.4,-54.0,stop,0.0,False,2.23,-71.0,stop,0.1,False,2.54,-40.0,stop,0.0,False,2.62,-32.0,stop,0.0,False,2.54,-40.0,stop,0.0,False
2026-08-12,09:47:00,Honeydrip daytrades,Mike,NVDA260814C00220000,NVDA,CALLS,OPRA 1s,222.0,3.95,ask at the touch,0.0,4.05,first ask,2.04,5.15,-20.0,4.6,65.0,rung,,True,4.5,55.0,rung,0.0,False,4.6,65.0,rung,,True,4.6,65.0,rung,,True,4.6,65.0,target,,True,4.3,35.0,rung,0.0,False,4.3,35.0,rung,0.0,False
2026-08-12,09:53:00,ZT scalps,TradeLikeGates,AMZN260814P00270000,AMZN,PUTS,OPRA 1s,271.0,2.34,ask at the touch,0.0,2.5,first ask,2.07,3.25,-14.0,3.2,86.0,rung,,True,3.2,86.0,rung,,True,3.2,86.0,rung,,True,3.2,86.0,close,0.0,False,3.2,86.0,target,,True,2.46,12.0,rung,0.0,False,2.46,12.0,rung,0.0,False
2026-08-12,09:58:00,ZT scalps,Bullwinkle,AMZN260814C00277500,AMZN,CALLS,OPRA 1s,270.0,0.59,ask at the touch,0.0,0.67,real fill,0.05,0.7,0.0,0.51,-8.0,stop,,True,0.51,-8.0,stop,,True,0.51,-8.0,stop,,True,0.51,-8.0,stop,,True,0.51,-8.0,stop,,True,0.54,-5.0,stop,0.0,False,0.51,-8.0,stop,,True
2026-08-13,09:55:00,Demon Alerts,Demon Alerts,TSLA260814C00340000,TSLA,CALLS,OPRA 1s,332.0,1.05,real fill at the touch,0.0,1.05,real fill,1.57,1.24,-5.0,0.93,-12.0,BE,0.0,False,1.05,0.0,rung,0.0,False,0.93,-12.0,BE,0.0,False,0.91,-14.0,rung,,True,0.91,-14.0,target,,True,0.94,-11.0,stop,0.0,False,1.1,5.0,rung,0.0,False
2026-08-13,10:03:00,ZT scalps,Bullwinkle,AMD260814C00505000,AMD,CALLS,OPRA 1s,495.0,3.47,real fill at the touch,0.1,3.47,real fill,0.37,3.25,-37.0,3.0,-47.0,stop,0.1,False,3.0,-47.0,stop,0.1,False,2.81,-66.0,stop,0.0,False,2.96,-51.0,stop,,True,3.0,-47.0,stop,0.1,False,3.1,-37.0,stop,0.0,False,3.0,-47.0,stop,0.1,False
2026-08-14,09:40:00,Honeydrip daytrades,Unraveller,AMD260819C00507500,AMD,CALLS,OPRA 1s,489.0,5.8,ask at the touch,29.0,5.69,real fill,1.5,9.9,-29.0,5.65,-15.0,BE,6.0,False,5.65,-15.0,rung,15.0,False,5.65,-15.0,BE,6.0,False,6.95,115.0,rung,0.0,False,5.25,-55.0,stop,0.0,False,5.5,-30.0,stop,0.0,False,5.25,-55.0,stop,0.0,False
2026-08-14,09:46:00,Honeydrip daytrades,Brett,AAPL260819C00307500,AAPL,CALLS,OPRA 1s,306.0,2.45,ask at the touch,0.0,2.7,real fill,0.35,2.88,0.0,2.3,-15.0,stop,,True,2.3,-15.0,stop,,True,2.3,-15.0,stop,,True,2.3,-15.0,close,0.0,False,2.3,-15.0,stop,,True,2.31,-14.0,stop,0.0,False,2.3,-15.0,stop,,True
2026-08-17,09:31:00,Honeydrip daytrades,Unraveller,META260821C00595000,META,CALLS,OPRA 1s,584.0,4.5,ask at the touch,123.6,5.2,real fill,0.02,4.35,-95.0,4.35,-15.0,stop,123.6,False,4.35,-15.0,stop,123.6,False,4.35,-15.0,stop,85.6,False,4.35,-15.0,stop,84.6,False,4.35,-15.0,stop,123.6,False,4.25,-25.0,stop,0.0,False,4.35,-15.0,stop,123.6,False
2026-08-17,09:50:00,Honeydrip daytrades,Unraveller,AMD260821C00535000,AMD,CALLS,OPRA 1s,514.0,6.4,ask at the touch,112.2,6.2,real fill,1.31,6.3,-30.0,6.1,-30.0,BE,44.2,False,6.1,-30.0,BE,44.2,False,5.9,-50.0,stop,0.1,False,5.75,-65.0,stop,0.0,False,6.0,-40.0,stop,0.2,False,6.0,-40.0,stop,0.0,False,6.0,-40.0,stop,0.2,False
2026-08-18,09:30:00,Whop Day Trades,Trademorewiser (MOD),SPY260819C00775000,SPY,CALLS,OPRA 1s,768.0,0.29,ask at the touch,0.0,0.29,real fill,0.46,0.39,-5.0,0.24,-5.0,rung,0.0,False,0.24,-5.0,rung,0.0,False,0.24,-5.0,BE,0.0,False,0.24,-5.0,BE,0.0,False,0.27,-2.0,target,0.0,False,0.24,-5.0,stop,0.0,False,0.28,-1.0,BE,0.0,False
2026-08-18,09:44:00,ZT scalps,Bullwinkle,NVDA260821C00227500,NVDA,CALLS,OPRA 1s,220.0,0.71,ask at the touch,0.0,0.82,real fill,0.8,0.83,-5.0,0.59,-12.0,stop,,True,0.59,-12.0,stop,,True,0.59,-12.0,close,0.0,False,0.59,-12.0,close,0.0,False,0.59,-12.0,stop,,True,0.67,-4.0,stop,0.0,False,0.59,-12.0,stop,,True
2026-08-18,10:14:00,Whop Day Trades,TradingTheTrend,SPY260825P00760000,SPY,PUTS,OPRA 1s,768.0,1.87,ask at the touch,29.0,1.87,real fill,0.17,1.86,-9.0,1.78,-9.0,stop,0.0,False,1.78,-9.0,stop,0.0,False,1.75,-12.0,stop,0.0,False,1.72,-15.0,stop,0.0,False,1.78,-9.0,stop,0.0,False,1.78,-9.0,stop,0.0,False,1.78,-9.0,stop,0.0,False
