ts_iso,date,time,room,caller,symbol,side,strike,expiry_raw,expiry_resolved,occ,their_price,qty,outcome,tier,confidence,flags,how_recovered,corroborating_lines,source_line_number,source_line_text,reason
2026-08-18T09:52:06-04:00,2026-08-18,09:52,,,AMD,CALLS,500,next week,,,12.4,,alert read from chat,F-airead,unrecoverable,,"expiry written as ""next week"" - cannot be resolved without guessing | chat text (log truncates it): AMD | $500 C 12.40 NEXT WEEK",,2454,AI READ  'AMD | $500 C 12.40 NEXT WEEK'  ->  BTO AMD $500C next week @ 12.4,"expiry could not be resolved: expiry written as ""next week"" - cannot be resolved without guessing"
2026-08-18T09:55:53-04:00,2026-08-18,09:55,,,NVDA,CALLS,222.5,,,,1.8,,alert read from chat,F-airead,unrecoverable,,no expiry in the text | chat text (log truncates it): NVDA | $222.5 C 1.80 219.50 BREAK,,2484,AI READ  'NVDA | $222.5 C 1.80 219.50 BREAK'  ->  BTO NVDA $222.5C @ 1.8,expiry could not be resolved: no expiry in the text
2026-08-19T09:46:20-04:00,2026-08-19,09:46,,,TSLA,CALLS,350,NEXT WEEK,,,5.25,,alert read from chat,F-airead,unrecoverable,,"expiry written as ""NEXT WEEK"" - cannot be resolved without guessing | chat text (log truncates it): TSLA | $350 C 5.25 NEXT WEEK",L2955(F-airead),2953,AI READ  'TSLA | $350 C 5.25 NEXT WEEK'  ->  BTO TSLA $350C NEXT WEEK @ 5.25,"expiry could not be resolved: expiry written as ""NEXT WEEK"" - cannot be resolved without guessing"
2026-08-19T10:53:02-04:00,2026-08-19,10:53,,,AMZN,CALLS,260,NEXT WEEK,,,3.03,,PULLBACK armed - no resolution line in the log,C-linked(F-airead),unrecoverable,,"linked to the alert the bot read just before the arm, line 3166 (F-airead) | expiry written as ""NEXT WEEK"" - cannot be resolved without guessing | chat text (log truncates it): AMZN | $260 C 3.03 NEXT WEEK @everyone Spoiler",armL3168;resLNone;,3166,AI READ  'AMZN | $260 C 3.03 NEXT WEEK @everyone Spoiler'  ->  BTO AMZN $260C NEXT WEEK @ 3.03,"expiry could not be resolved: expiry written as ""NEXT WEEK"" - cannot be resolved without guessing"
2026-08-19T11:03:24-04:00,2026-08-19,11:03,,,SPCX,CALLS,143,MAY,,,4.75,,alert read from chat,F-airead,unrecoverable,,"expiry written as ""MAY"" - cannot be resolved without guessing | chat text (log truncates it): SPCX | $143 C 4.75 MAY SWING @everyone Spoiler",,3196,AI READ  'SPCX | $143 C 4.75 MAY SWING @everyone Spoiler'  ->  BTO SPCX $143C MAY @ 4.75,"expiry could not be resolved: expiry written as ""MAY"" - cannot be resolved without guessing"
2026-08-19T11:21:51-04:00,2026-08-19,11:21,,,TSLA,CALLS,352.5,7 days,,,7.36,,alert read from chat,F-airead,unrecoverable,,"expiry written as ""7 days"" - cannot be resolved without guessing | chat text (log truncates it): TSLA | $352.5 C 7.36 NEXT WEK @everyone",,3208,AI READ  'TSLA | $352.5 C 7.36 NEXT WEK @everyone'  ->  BTO TSLA $352.5C 7 days @ 7.36,"expiry could not be resolved: expiry written as ""7 days"" - cannot be resolved without guessing"
2026-08-20T09:41:13-04:00,2026-08-20,09:41,,,TSLA,CALLS,355,next week,,,4.3,,alert read from chat,F-airead,unrecoverable,,"expiry written as ""next week"" - cannot be resolved without guessing | chat text (log truncates it): TSLA | $355 C 4.30 NEXT WEEK",L3431(F-airead),3428,AI READ  'TSLA | $355 C 4.30 NEXT WEEK'  ->  BTO TSLA $355C next week @ 4.3,"expiry could not be resolved: expiry written as ""next week"" - cannot be resolved without guessing"
2026-08-20T09:54:04-04:00,2026-08-20,09:54,,,TSLA,CALLS,355,,,,5.1,,alert read from chat,F-airead,unrecoverable,,no expiry in the text | chat text (log truncates it): TSLA | 355 C 5.10,,3471,AI READ  'TSLA | 355 C 5.10'  ->  BTO TSLA $355C @ 5.1,expiry could not be resolved: no expiry in the text
2026-08-20T13:03:39-04:00,2026-08-20,13:03,,,MRNA,CALLS,135,next week,,,9.05,,alert read from chat,F-airead,unrecoverable,,"expiry written as ""next week"" - cannot be resolved without guessing | chat text (log truncates it): MRNA | $135 C 9.05 NEXT WEEK $130 BREAK @everyone ",,3666,AI READ  'MRNA | $135 C 9.05 NEXT WEEK $130 BREAK @everyone '  ->  BTO MRNA $135C next week @ 9.05,"expiry could not be resolved: expiry written as ""next week"" - cannot be resolved without guessing"
2026-08-20T15:53:02-04:00,2026-08-20,15:53,,,BABA,CALLS,130,tmrw,,,1.3,,alert read from chat,F-airead,unrecoverable,,"expiry written as ""tmrw"" - cannot be resolved without guessing | chat text (log truncates it): @everyone Lotto for tmrw: BABA 130C 1.30 Swinging ",,3707,AI READ  '@everyone Lotto for tmrw: BABA 130C 1.30 Swinging '  ->  BTO BABA $130C tmrw @ 1.3,"expiry could not be resolved: expiry written as ""tmrw"" - cannot be resolved without guessing"
2026-08-21T09:33:53-04:00,2026-08-21,09:33,,,NVDA,CALLS,225,NEXT WEEK,,,4.2,,PULLBACK touched - entry attempted,C-linked(F-airead),unrecoverable,,"linked to the alert the bot read just before the arm, line 3933 (F-airead) | expiry written as ""NEXT WEEK"" - cannot be resolved without guessing | chat text (log truncates it): NVDA | 225 C 4.20 NEXT WEEK",armL3936;resL3938;L3935(F-airead),3933,AI READ  'NVDA | 225 C 4.20 NEXT WEEK'  ->  BTO NVDA $225C NEXT WEEK @ 4.2,"expiry could not be resolved: expiry written as ""NEXT WEEK"" - cannot be resolved without guessing"
2026-08-21T09:36:57-04:00,2026-08-21,09:36,,,AMZN,CALLS,262.5,,,,2.4,,PULLBACK touched - entry attempted,C-linked(F-airead),unrecoverable,,"linked to the alert the bot read just before the arm, line 3947 (F-airead) | no expiry in the text | chat text (log truncates it): AMZN | $262.5 C 2.40 @everyone",armL3949;resL3951;,3947,AI READ  'AMZN | $262.5 C 2.40 @everyone'  ->  BTO AMZN $262.5C @ 2.4,expiry could not be resolved: no expiry in the text
2026-08-21T09:55:09-04:00,2026-08-21,09:55,,,TSLA,CALLS,360,next week,,,4.5,,PULLBACK armed - no resolution line in the log,C-linked(F-airead),unrecoverable,,"contract came from the F-airead line this chain produced at line 3987 | expiry written as ""next week"" - cannot be resolved without guessing | chat text (log truncates it): TSLA | $360 C 4.50 NEXT WEEK",armL3981;resLNone;L3989(F-airead),3987,AI READ  'TSLA | $360 C 4.50 NEXT WEEK'  ->  BTO TSLA $360C next week @ 4.5,"expiry could not be resolved: expiry written as ""next week"" - cannot be resolved without guessing"
2026-08-24T09:37:27-04:00,2026-08-24,09:37,,,SNDK,CALLS,1500,THIS WEEK,,,39,,alert read from chat,F-airead,unrecoverable,,"expiry written as ""THIS WEEK"" - cannot be resolved without guessing | chat text (log truncates it): SNDK | $1500 C 39.00 THIS WEEK $1445.00 BREAK PURE",L4482(F-airead),4480,AI READ  'SNDK | $1500 C 39.00 THIS WEEK $1445.00 BREAK PURE'  ->  BTO SNDK $1500C THIS WEEK @ 39,"expiry could not be resolved: expiry written as ""THIS WEEK"" - cannot be resolved without guessing"
2026-08-24T09:44:51-04:00,2026-08-24,09:44,,,NVDA,CALLS,215,,,,4.4,,alert read from chat,F-airead,unrecoverable,,no expiry in the text | chat text (log truncates it): NVDA | $215 C 4.40 @everyone,,4510,AI READ  'NVDA | $215 C 4.40 @everyone'  ->  BTO NVDA $215C @ 4.4,expiry could not be resolved: no expiry in the text
2026-08-24T11:29:16-04:00,2026-08-24,11:29,,,META,CALLS,,,,,,,PULLBACK never hit - skipped,C-unlinked,unrecoverable,underlying and direction are known; the option contract is NOT,,resL4758,4742,"PULLBACK META CALL: stock at 555.98, waiting for a dip to $555 (600s window)",no alert for META anywhere near this arm - originating call is not in the log
2026-08-24T14:59:41-04:00,2026-08-24,14:59,,,TSLA,CALLS,357.5,,,,3.65,,PULLBACK never hit - skipped,C-linked(F-airead),unrecoverable,,contract came from the F-airead line this chain produced at line 4853 | no expiry in the text | chat text (log truncates it): TSLA | $357.5 C 3.65 @everyone,armL4855;resL4863;,4853,AI READ  'TSLA | $357.5 C 3.65 @everyone'  ->  BTO TSLA $357.5C @ 3.65,expiry could not be resolved: no expiry in the text
2026-08-25T09:36:42-04:00,2026-08-25,09:36,,,NVDA,CALLS,220,,,,3.35,,alert read from chat,F-airead,unrecoverable,,no expiry in the text | chat text (log truncates it): NVDA | $220 C 3.35 ON THE BREAK OF $212.20,,4940,AI READ  'NVDA | $220 C 3.35 ON THE BREAK OF $212.20'  ->  BTO NVDA $220C @ 3.35,expiry could not be resolved: no expiry in the text
2026-08-25T09:37:31-04:00,2026-08-25,09:37,RWGates,TradeLikeGates,META,CALLS,570,26/8,,,5.15,1,PULLBACK touched - entry attempted,C-linked(A),unrecoverable,,contract came from a A line inside the pullback chain (line 4956) | invalid M/D,armL4952;resL4954;L4950(F-airead),4956,REFUSED  OPEN META (TradeLikeGates's call) 570C 26/8 x1 @ 5.15  ->  26/8 isn't a real date. Nothing was sent.,expiry could not be resolved: invalid M/D
2026-08-25T09:51:06-04:00,2026-08-25,09:51,,,MSFT,PUTS,,,,,,,PULLBACK never hit - skipped,C-unlinked,unrecoverable,underlying and direction are known; the option contract is NOT,,resL5029,4988,"PULLBACK MSFT PUT: stock at 488.18, waiting for a bounce to $489 (600s window)",no alert for MSFT anywhere near this arm - originating call is not in the log
2026-08-25T09:52:04-04:00,2026-08-25,09:52,,,COIN,CALLS,182.5,,,,3.23,,alert read from chat,F-airead,unrecoverable,,no expiry in the text | chat text (log truncates it): COIN | $182.5 C 3.23 @everyone,,4998,AI READ  'COIN | $182.5 C 3.23 @everyone'  ->  BTO COIN $182.5C @ 3.23,expiry could not be resolved: no expiry in the text
2026-08-25T10:53:38-04:00,2026-08-25,10:53,,,SPY,CALLS,,,,,,,PULLBACK never hit - skipped,C-unlinked,unrecoverable,underlying and direction are known; the option contract is NOT,,resL5087,5076,"PULLBACK SPY CALL: stock at 764.77, waiting for a dip to $764 (600s window)","only PUTS alert found near this CALL arm (line 5052) - direction does not match, so NOT linked"
2026-08-25T11:04:59-04:00,2026-08-25,11:04,,,MSFT,CALLS,,,,,,,PULLBACK never hit - skipped,C-unlinked,unrecoverable,underlying and direction are known; the option contract is NOT,,resL5094,5088,"PULLBACK MSFT CALL: stock at 488.71, waiting for a dip to $488 (600s window)",no alert for MSFT anywhere near this arm - originating call is not in the log
2026-08-25T13:32:58-04:00,2026-08-25,13:32,,,NVDA,CALLS,,,,,,,PULLBACK never hit - skipped,C-unlinked,unrecoverable,underlying and direction are known; the option contract is NOT,,resL5179,5165,"PULLBACK NVDA CALL: stock at 212.31, waiting for a dip to $212 (600s window)",no alert for NVDA anywhere near this arm - originating call is not in the log
2026-08-26T09:46:39-04:00,2026-08-26,09:46,,,TSLA,PUTS,340,next week,,,4.9,,alert read from chat,F-airead,unrecoverable,,"expiry written as ""next week"" - cannot be resolved without guessing | chat text (log truncates it): TSLA | $340 P NEXT WEEK 4.90",,5489,AI READ  'TSLA | $340 P NEXT WEEK 4.90'  ->  BTO TSLA $340P next week @ 4.9,"expiry could not be resolved: expiry written as ""next week"" - cannot be resolved without guessing"
